Feature,45794,45869,45870,45871,45872,54076,63497,63509,63510,63511,63512,63513,63514
高度(mm),1675,1670,1670,1670,1675,1675,1675,1670,1670,1670,1670,1670,1675
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856
长*宽*高(mm),4856*1942*1675,4856*1942*1670,4856*1942*1670,4856*1942*1670,4856*1942*1675,4856*1942*1675,4856*1942*1675,4856*1942*1670,4856*1942*1670,4856*1942*1670,4856*1942*1670,4856*1942*1670,4856*1942*1675
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,●,●,-,●,●,●,●,●
道路交通标识识别,●,-,●,-,-,●,●,-,●,●,●,-,●
远程启动功能,,,,,,,,-,,,,,
远光灯光源,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,
辅助驾驶系统,,-,,-,-,,,-,,,,-,
辅助驾驶等级,,-,,-,-,,,-,,,,-,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,,,,,,
转向辅助灯,●,-,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,-,-,●,●,●,●,-,-,-,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,-,-,●,●,-,●,●,●,-,●
车道偏离预警系统,●,-,●,-,-,●,●,-,●,●,●,-,●
车道保持辅助系统,●,-,●,-,-,●,●,-,●,●,●,-,●
车载空气净化器,●,-,-,-,●,●,●,-,-,-,-,-,●
车载智能系统,,-,,,,,,-,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,●,●,●,●,●,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,本田UR-V 2020款 370TURBO 四驱尊耀版,本田UR-V 2020款 240TURBO 两驱致悦版,本田UR-V 2020款 240TURBO 两驱致雅版,本田UR-V 2020款 370TURBO 两驱尊雅版,本田UR-V 2020款 370TURBO 四驱尊享版,本田UR-V 2023款 370TURBO 四驱尊耀版,本田UR-V 2023款 370TURBO 四驱尊享版,本田UR-V 2023款 240TURBO 两驱致悦版,本田UR-V 2023款 240TURBO 两驱致境版,本田UR-V 2023款 240TURBO 两驱致雅版,本田UR-V 2023款 240TURBO 两驱致雅黑爵士版,本田UR-V 2023款 370TURBO 两驱尊雅版,本田UR-V 2023款 370TURBO 四驱尊耀黑爵士版
车前雾灯,,,,,,,,,,,,,
车内环境氛围灯,,-,,,,,,-,,,,,
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,-,●,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,-,-,●,●,●,-,-,-,-,-,●
语音识别控制系统,,-,,,,,,-,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,●,●,-,●,●,●,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,●,-,-,-,-,-,-,●
自动头灯,●,-,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,9挡手自一体,CVT无级变速,CVT无级变速,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,9挡手自一体,9挡手自一体
