Feature,60967,61615,61616,63164,66583,66584,70014,70026,70027,70028
高精地图,-,-,-,-,-,-,-,-,○,●
高度(mm),1449,1449,1449,1449,1449,1449,1449,1449,1449,1449
驾驶辅助影像,,,,-,,,-,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
面部识别,-,-,●,-,-,-,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),4980,4980,4980,4980,4980,4980,4980,4980,4980,4980
长*宽*高(mm),4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449,4980*1862*1449
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,●,●,-,●,●,●
远程启动功能,-,,,-,-,,-,-,,
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
辅助驾驶系统,,,,-,,,-,,,
辅助驾驶等级,,,,-,,,-,,,
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,,,,,
转向辅助灯,-,●,●,-,-,●,-,-,●,●
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,●,-,●,●,●
车道偏离预警系统,●,●,●,-,●,●,-,●,●,●
车道保持辅助系统,●,●,●,-,●,●,-,●,●,●
车载空气净化器,-,-,●,-,-,-,-,-,-,●
车载智能系统,,,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车型名称,雅阁 2023款 260TURBO 智享版,雅阁 2023款 260TURBO 卓越版,雅阁 2023款 260TURBO 旗舰版,雅阁 2023款 260TURBO 舒适版,雅阁 2024款 260TURBO 豪华版,雅阁 2024款 260TURBO 尊贵版,雅阁 2025款 260TURBO 舒适版,雅阁 2025款 260TURBO 豪华版,雅阁 2025款 260TURBO 尊贵版,雅阁 2025款 260TURBO 旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,-,,,-,,,
车内摄像头数量,,,,,,,,,,
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,,,-,-,,-,-,,
负离子发生器,-,-,●,-,-,-,-,-,-,●
语音识别控制系统,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,,,,
语音分区域唤醒识别,-,-,-,-,-,-,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●
被动行人保护,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●,-,●,●,●
自动驾驶辅助路段,-,-,-,-,-,-,-,-,,
自动驻车,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,●,-,-,-,-,-,○,●
膝部气囊,,,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,,-,-,-,-,-,-,
空调温度控制方式,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,-,,,-,-,,-,-,,
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,
油箱容积(L),56,56,56,56,56,56,56,56,56,56
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,,,,-,,,-,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),186,186,186,186,186,186,186,186,186,186
最小转弯半径(m),-,-,-,-,-,-,5.7,5.7,5.7,5.7
最大马力(Ps),192,192,192,192,192,192,192,192,192,192
最大满载质量(kg),2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
最大扭矩转速(rpm),1700-5000,1700-5000,1700-5000,1700-5000,1700-5000,1700-5000,1700-5000,1700-5000,1700-5000,1700-5000
最大扭矩(N·m)_y,260,260,260,260,260,260,260,260,260,260
最大扭矩(N·m)_x,260,260,260,260,260,260,260,260,260,260
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,141,141,141,141,141,141,141,141,141,141
最大功率(kW)_x,141,141,141,141,141,141,141,141,141,141
最大净功率(kW),141,141,141,141,141,141,141,141,141,141
无钥匙进入功能,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,
整车质保,,,,,,,,,,
整备质量(kg),1515,1552,1571,1497,1515,1552,1497,1515,1552,1571
摄像头数量,,,,-,,,-,,,
接近角(°),14,14,14,14,14,14,14,14,14,14
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,
扬声器品牌名称,-,,,-,-,,-,-,,
手机无线充电功能,-,-,,-,-,-,-,-,-,
手机互联/映射,,,,,,,,,,
手机APP远程功能,,,,,,,,,,
感应雨刷功能,,,,-,,,-,,,
座椅材质,,,,,,,,,,
座位数(个),,,,,,,,,,
应用商店,-,-,-,-,-,-,●,●,●,●
并线辅助,-,-,●,-,●,●,-,●,●,●
巡航系统,,,,-,,,-,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●
宽度(mm),1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,
天窗类型,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,
备胎规格,,,,,,,,,,
备胎放置方式,-,-,-,-,-,-,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1620,1613,1613,1620,1620,1613,1620,1620,1613,1613
后轮胎规格,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,
后悬架类型,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),575,575,575,575,575,575,575,575,575,575
后制动器类型,,,,,,,,,,
可变转向比,●,●,●,●,●,●,●,●,●,●
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●
发动机特有技术,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ,L15CH/L15CJ
发动机启停技术,●,●,●,●,●,●,●,●,●,●
发动机,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4
压缩比,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6
厂商指导价(元),19.68万,21.38万,22.88万,17.98万,19.78万,21.48万,17.98万,19.78万,21.48万,23.88万
厂商,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田
卫星导航系统,●,●,●,●,●,●,●,●,●,●
匝道自动驶出(入),-,-,-,-,-,-,-,-,○,●
助力类型,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,
前轮距(mm),1600,1591,1591,1600,1600,1591,1600,1600,1591,1591
前轮胎规格,,,,,,,,,,
前方碰撞预警,●,●,●,-,●,●,-,●,●,●
前方感知摄像头,,,,-,,,-,,,
前排座椅功能,-,,,-,-,,-,-,,
前悬架类型,,,,,,,,,,
前制动器类型,,,,,,,,,,
前/后驻车雷达,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
