Feature,58431,60402
高精地图,●,●
高度(mm),1848,1858
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,双电机四驱,双电机四驱
首任车主质保政策,6年或15万公里,6年或15万公里
风阻系数(Cd),0.27,0.27
面部识别,●,●
陡坡缓降,●,●
长度(mm),5209,5209
长*宽*高(mm),5209*2024*1848,5209*2024*1858
钥匙类型,,
遥控泊车,●,●
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,●,●
远程启动功能,,
远光灯光源,,
近光灯光源,,
辅助驾驶芯片,,
辅助驾驶系统,,
辅助驾驶等级,,
轴距(mm),3205,3205
轮圈材质,,
转向头灯,●,●
车门数(个),5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,MPV,MPV
车身结构_x,5门6座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,,
车型名称,极氪009 2022款 WE版,极氪009 2022款 ME版
车前雾灯,-,-
车内香氛装置,●,●
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
语音连续识别,●,●
语音识别控制系统,,
语音分区域唤醒识别,,
语音免唤醒词,●,●
触摸式阅读灯,●,●
触屏振动反馈,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驾驶辅助路段,,
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
能量回收系统,●,●
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,○,-
级别,中大型MPV,中大型MPV
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
第三排座椅调节,,
空调温度控制方式,,
空气悬架,●,●
离去角(°),17,17
百公里耗电量(kWh/100km),18.3,-
疲劳驾驶提示,●,●
电芯品牌,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),2.07,-
电磁感应悬架,●,●
电池预加热,●,●
电池能量密度(Wh/kg),177,-
电池能量(kWh),116,140
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),686,686
电动机总功率(kW),400,400
电动机总功率(Ps),544,544
电动机(Ps),544,544
电动座椅记忆功能,,
电动吸合车门,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
牵引力控制(ASR/TCS/TRC等),●,●
热泵空调,●,●
灯光特色功能,,
满载最小离地间隙(mm),139,139
温度分区控制,●,●
液晶仪表尺寸,,
毫米波雷达数量,,
最高车速(km/h),190,190
最大满载质量(kg),3320,3400
最大扭矩(N·m),686,686
最大功率(kW),400,400
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘离手检测,●,●
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,四年或10万公里,四年或10万公里
整备质量(kg),2830,2906
摄像头数量,,
接近角(°),12,12
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机互联/映射,,
手机APP远程功能,,
慢充时间(小时)_y,-,-
慢充时间(小时)_x,-,-
感应雨刷功能,,
快充电量百分比,80,-
快充电量(%),80,-
快充时间(小时)_y,0.47,-
快充时间(小时)_x,0.47,-
快充功能,支持,支持
座椅材质,,
座椅布局,,
座位数(个),6,6
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电,●,●
宽度(mm),2024,2024
官方0-100km/h加速(s),4.5,4.5
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
四驱形式,电动四驱,电动四驱
后雨刷,●,●
后轮距(mm),1713,1713
后轮胎规格,255/50 R19,255/50 R19
后电动机最大扭矩(N·m),343,343
后电动机最大功率(kW),200,200
后方碰撞预警,●,●
后排独立空调,●,●
后排液晶屏幕尺寸,,
后排液晶屏幕,,
后排杯架,●,●
后排控制多媒体,●,●
后排座椅放倒形式,,
后排小桌板,●,●
后排侧隐私玻璃,●,●
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
