Feature,58525,59115,59116,60862,64637,64638,64639,64650,66373
高精地图,●,●,●,●,●,●,●,●,●
高度(mm),1934,1937,1937,1937,1937,1937,1934,1937,1937
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),5657,5355,5355,5355,5355,5355,5657,5355,5355
长*宽*高(mm),5657*2073*1934,5355*2073*1937,5355*2073*1937,5355*2073*1937,5355*2073*1937,5355*2073*1937,5657*2073*1934,5355*2073*1937,5355*2073*1937
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,
辅助驾驶系统,,,,,,,,,
辅助驾驶等级,,,,,,,,,
轴距(mm),3342,3112,3112,3112,3112,3112,3342,3112,3112
轮圈材质,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●
转向头灯,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,领航员 2022款 3.5T 长轴总统版,领航员 2022款 3.5T 尊耀版,领航员 2022款 3.5T 总统版,领航员 2022款 3.5T 百周年限量版,领航员 2022款 3.5T 黑金尊耀版,领航员 2022款 3.5T 黑金总统版,领航员 2022款 3.5T 黑金长轴总统版,领航员 2022款 3.5T 黑金百周年限量版,领航员 2024款 3.5T 蓝银版
车前雾灯,,,,,,,,,
车内环境氛围灯,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车侧脚踏板,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
