Feature,1019013,1019014,1019015,1019016,1019017,1019018,1019019,1019020,1019022,1019023,1019024,1019025,1019026
高度(mm),2400,2400,2400,2400,2060,2060,2060,2060,1765,1765,1765,1765,1765
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4200,4400,4750,4960,4200,4400,4750,4960,4200,4200,4400,4750,4960
长*宽*高(mm),4200*1570*2400,4400*1570*2400,4750*1570*2400,4960*1570*2400,4200*1570*2060,4400*1570*2060,4750*1570*2060,4960*1570*2060,4200*1570*1765,4200*1570*1765,4400*1570*1765,4750*1570*1765,4960*1570*1765
钥匙类型,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,
轴距(mm),2600,2800,3150,3150,2600,3150,3150,3150,2600,2600,2800,3150,3150
轮圈材质,,,,,,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-
