Feature,66931,66932,66933,66934,66935,66936,66937,66938,66939,67259,69209,69210,69252,69253,69254,69512,69513,69514
高度(mm),1670,1670,1670,1670,1670,1660,1660,1660,1660,1660,1670,1670,1670,1670,1670,1660,1660,1660
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4775,4775,4775,4775,4775,4785,4785,4785,4785,4785,4775,4775,4775,4775,4775,4785,4785,4785
长*宽*高(mm),4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4785*1890*1660,4785*1890*1660,4785*1890*1660,4785*1890*1660,4785*1890*1660,4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4775*1890*1670,4785*1890*1660,4785*1890*1660,4785*1890*1660
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-
遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
透明底盘/540度影像,-,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,-,,,,-,-,-,-,-,-,,-,,,-,,
辅助驾驶等级,-,-,,,,-,-,,,-,-,,-,,,-,,
