Feature,66951,66963,66964,66965,66966,69112,69113
高度(mm),1710,1710,1710,1710,1710,1700,1710
驾驶辅助影像,,,,,,-,-
驾驶模式切换,,,,,,-,-
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,-,-
防侧翻系统,●,●,●,●,●,-,-
长度(mm),4738,4738,4738,4738,4738,4735,4735
长*宽*高(mm),4738*1860*1710,4738*1860*1710,4738*1860*1710,4738*1860*1710,4738*1860*1710,4735*1860*1700,4735*1860*1710
钥匙类型,,,,,,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,-,-
道路交通标识识别,●,-,-,●,●,-,-
透明底盘/540度影像,●,●,●,●,●,-,-
远程启动功能,,,,,,-,-
远光灯光源,,,,,,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,-,-
辅助驾驶系统,,,,,,-,-
辅助驾驶等级,,-,-,,,-,-
轴距(mm),2712,2712,2712,2712,2712,2712,2712
轮圈材质,,,,,,-,-
车顶行李架,●,●,●,●,●,-,-
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,●,●,-,-
车道偏离预警系统,●,-,-,●,●,-,-
车道保持辅助系统,●,-,-,●,●,-,-
车载空气净化器,●,-,-,-,-,-,-
车载智能系统,,,,,,-,-
车载KTV,●,●,●,●,●,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,-,-
车联网,●,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,-,-
车窗一键升降功能,,,,,,-,-
车型名称,宋Pro新能源 2024款 荣耀版 DM-i 110KM卓越型,宋Pro新能源 2024款 荣耀版 DM-i 71KM领航型,宋Pro新能源 2024款 荣耀版 DM-i 71KM领先型,宋Pro新能源 2024款 荣耀版 DM-i 71KM超越型,宋Pro新能源 2024款 荣耀版 DM-i 110KM超越型,宋Pro新能源 2025款 DM-i 低配版,宋Pro新能源 2025款 DM-i 高配版
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,-
车内化妆镜,,,,,,-,-
车内中控锁,●,●,●,●,●,-,-
车内PM2.5过滤装置,●,●,●,●,●,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,-,-
语音连续识别,●,●,●,●,●,-,-
语音识别控制系统,,,,,,-,-
语音助手唤醒词,,,,,,-,-
语音分区域唤醒识别,,,,,,-,-
语音免唤醒词,●,●,●,●,●,-,-
触摸式阅读灯,●,●,●,●,●,-,-
行车电脑显示屏幕,,,,,,-,-
蓝牙/车载电话,●,●,●,●,●,-,-
自适应远近光,●,-,-,●,●,-,-
自动驻车,●,●,●,●,●,-,-
自动头灯,●,●,●,●,●,-,-
能量回收系统,●,●,●,●,●,-,-
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,-,-
第二排座椅调节,,,,,,-,-
空调温度控制方式,,,,,,-,-
空气质量监测,●,●,●,●,●,-,-
离去角(°),22,22,22,22,22,22,22
疲劳驾驶提示,-,-,-,-,-,-,-
电芯品牌,,,,,,,
电池预加热,●,●,●,●,●,-,-
电池能量(kWh),18.3,12.9,12.9,12.9,18.3,-,-
电池类型,,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),197,197,197,197,197,163,163
电动机总扭矩(N·m),325,325,325,325,325,-,-
电动机总功率(kW),145,145,145,145,145,120,120
电动机(Ps),197,197,197,197,197,163,163
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢位置记忆,●,-,-,-,-,-,-
电动后备厢,●,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,●,●,●,●,-,-
液晶仪表尺寸,,,,,,-,-
油箱容积(L),52,52,52,52,52,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),170,170,170,170,170,180,180
最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,-,-
最大马力(Ps),110,110,110,110,110,101,101
最大满载质量(kg),2155,2140,2140,2140,2155,2010,2140
最大扭矩转速(rpm),4500,4500,4500,4500,4500,-,-
最大扭矩(N·m)_y,135,135,135,135,135,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000,-,-
最大功率(kW)_y,81,81,81,81,81,74,74
最大功率(kW)_x,-,-,-,-,-,-,-
最大净功率(kW),78,78,78,78,78,70,70
最低荷电状态油耗(L/100km),5.3,5.3,5.3,5.3,5.3,-,-
无钥匙进入功能,,,,,,-,-
无钥匙启动系统,●,●,●,●,●,-,-
旋转大屏,●,●,●,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,-,-
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,-,-
整车质保,,,,,,,
整备质量(kg),1780,1765,1765,1765,1780,1635,1765
摄像头数量,,,,,,-,-
接近角(°),18,18,18,18,18,18,18
排量(mL),1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,-,-
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,-,-
扬声器数量,,,,,,-,-
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-
手机APP远程功能,,,,,,-,-
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,-,-,-,-,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),18,18,18,18,18,-,-
座椅材质,,,,,,-,-
座位数(个),,,,,,,
应用商店,●,●,●,●,●,-,-
并线辅助,●,-,-,-,-,-,-
巡航系统,,,,,,-,-
导航路况信息显示,●,●,●,●,●,-,-
对外放电,●,●,●,●,●,-,-
宽度(mm),1860,1860,1860,1860,1860,1860,1860
官方0-100km/h加速(s),7.9,8.3,8.3,8.3,7.9,-,-
安全带未系提醒,,,,,,-,-
天窗类型,,-,,,,-,-
大灯高度可调,●,●,●,●,●,-,-
大灯延时关闭,●,●,●,●,●,-,-
多层隔音玻璃,,-,-,,,-,-
多媒体/充电接口,,,,,,-,-
多功能方向盘,●,●,●,●,●,-,-
外后视镜功能,,,,,,-,-
备胎规格,,,,,,,
地图品牌,,,,,,-,-
后雨刷,●,●,●,●,●,-,-
后轮距(mm),1565,1565,1565,1565,1565,1565,1565
后轮胎规格,,,,,,,
后方碰撞预警,●,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,-,-
后排座椅放倒形式,,,,,,-,-
后悬架类型,,,,,,,
后座出风口,●,●,●,●,●,-,-
后备厢容积(L),-,-,-,-,-,-,-
后制动器类型,,,,,,,
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),-,-
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,-,-
发动机电子防盗,●,●,●,●,●,-,-
发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机型号,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QC,BYD472QC
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 101马力 L4,1.5L 101马力 L4
厂商指导价(元),13.98万,10.98万,11.58万,12.28万,12.98万,-,-
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
卫星导航系统,●,●,●,●,●,-,-
助力类型,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
副座椅调节方式,,,,,,-,-
前轮距(mm),1565,1565,1565,1565,1565,1565,1565
前轮胎规格,,,,,,,
前电动机最大扭矩(N·m),325,325,325,325,325,-,-
前电动机最大功率(kW),145,145,145,145,145,120,120
前电动机型号,TZ220XYE,TZ220XYE,TZ220XYE,TZ220XYE,TZ220XYE,TZ210XYB,TZ210XYB
前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
前方碰撞预警,●,-,-,●,●,-,-
前排座椅功能,,-,-,-,-,-,-
前悬架类型,,,,,,,
前制动器类型,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,-,-
内置行车记录仪,●,-,-,●,●,-,-
内后视镜功能,,,,,,-,-
全液晶仪表盘,●,-,-,-,●,-,-
倒车车侧预警系统,●,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
低速行车警告,●,●,●,●,●,-,-
主座椅调节方式,,,,,,-,-
主动刹车/主动安全系统,●,-,-,●,●,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-
中控液晶屏分屏显示,●,●,●,●,●,-,-
中控彩色屏幕,,,,,,-,-
中控屏幕类型,,,,,,-,-
中控屏幕尺寸,,,,,,-,-
上市时间,2024.03,2024.03,2024.03,2024.03,2024.03,-,-
上坡辅助,●,●,●,●,●,-,-
三电首任车主质保政策,,,,,,-,-
Wi-Fi热点,●,●,●,●,●,-,-
WLTC综合油耗(L/100km),1.98,2.87,2.87,2.87,1.98,-,-
WLTC纯电续航里程(km)_y,85,59,59,59,85,-,-
WLTC纯电续航里程(km)_x,85,59,59,59,85,-,-
USB/Type-C接口数量,,,,,,-,-
OTA升级,●,●,●,●,●,-,-
NEDC纯电续航里程(km)_y,110,71,71,71,110,-,-
NEDC纯电续航里程(km)_x,110,71,71,71,110,-,-
LED日间行车灯,●,●,●,●,●,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,-,-
DOW开门预警,●,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,-,-
4G/5G网络,,,,,,-,-
