Feature,69114,69115,70057,70058
高度(mm),1720,1720,1720,1720
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
首任车主质保政策,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,●,●,●,●
防侧翻系统,●,●,●,●
长度(mm),4710,4710,4710,4710
长*宽*高(mm),4710*1880*1720,4710*1880*1720,4710*1880*1720,4710*1880*1720
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●
道路交通标识识别,-,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
运动风格座椅,●,●,●,●
辅助驾驶系统,-,,,
辅助驾驶等级,-,,,
轴距(mm),2712,2712,2712,2712
轮圈材质,,,,
车顶行李架,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●
车道偏离预警系统,-,●,●,●
车道保持辅助系统,-,●,●,●
车载空气净化器,-,●,-,-
车载智能系统,,,,
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机系统存储(GB),,,,
车机系统内存(GB),,,,
车型名称,海狮05 DM-i 2025款 DM-i 75KM豪华型,海狮05 DM-i 2025款 DM-i 115KM旗舰型,海狮05 DM-i 2025款 DM-i 75KM尊贵型,海狮05 DM-i 2025款 DM-i 115KM尊荣型
车前雾灯,-,-,-,-
车内环境氛围灯,-,,-,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,●,●,●
自动驻车,●,●,●,●
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
空气质量监测,-,●,-,-
离去角(°),22,22,22,22
百公里耗电量(kWh/100km),-,15.8,-,15.8
疲劳驾驶提示,-,-,-,-
电芯品牌,,,,
电池预加热,●,●,●,●
电池能量(kWh),12.9,18.3,12.9,18.3
电池类型,,,,
电池快充电量范围(%)_y,-,30-80,-,30-80
电池快充电量范围(%)_x,-,30-80,-,30-80
电池快充时间(小时)_y,-,0.57,-,0.57
电池快充时间(小时)_x,-,0.57,-,0.57
电池冷却方式,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总马力(Ps),163,163,163,163
电动机总扭矩(N·m),210,210,210,210
电动机总功率(kW),120,120,120,120
电动机(Ps),163,163,163,163
电动座椅记忆功能,-,-,-,-
电动后备厢位置记忆,-,●,●,-
电动后备厢,-,●,●,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),52,52,52,52
油电综合燃料消耗量(L/100km),3.38,2.97,3.38,2.97
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),180,180,180,180
最小转弯半径(m),5.8,5.8,5.8,5.8
最大马力(Ps),101,101,101,101
最大满载质量(kg),2010,2140,2010,2140
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,126,126,126,126
最大扭矩(N·m)_x,-,-,-,-
最大功率转速(rpm),-,-,-,-
最大功率(kW)_y,74,74,74,74
最大功率(kW)_x,-,-,-,-
最大净功率(kW),70,70,70,70
最低荷电状态油耗(L/100km)WLTC,4.85,4.9,4.85,4.9
最低荷电状态油耗(L/100km)NEDC,3.79,3.79,3.79,3.79
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
旋转大屏,●,●,●,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),1635,1765,1635,1765
摄像头数量,,,,
接近角(°),18,18,18,18
排量(mL),1498,1498,1498,1498
换挡形式,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,-,,-,-
手机无线充电功率,-,,-,-
手机互联/映射,-,-,-,-
手机APP远程功能,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,-,-,-,-
快充接口位置,-,车右后侧,-,车右后侧
快充功能,-,支持,-,支持
快充功率(kW),-,18,-,18
座椅材质,,,,
座位数(个),,,,
应用商店,●,●,●,●
并线辅助,-,●,-,-
巡航系统,,,,
导航路况信息显示,●,●,●,●
对外放电,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3
宽度(mm),1880,1880,1880,1880
官方0-100km/h加速(s),8.3,8.5,8.3,8.5
安全带未系提醒,,,,
天窗类型,-,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,,,,
地图品牌,,,,
后雨刷,●,●,●,●
后轮距(mm),1582,1582,1582,1582
后轮胎规格,,,,
后方碰撞预警,-,●,-,-
后排独立空调,-,-,-,-
后排杯架,●,●,●,●
后排座椅放倒形式,,,,
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),407-1430,407-1430,407-1430,407-1430
后制动器类型,,,,
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●
发动机布局,横置,横置,横置,横置
发动机型号,BYD472QC,BYD472QC,BYD472QC,BYD472QC
发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4
厂商指导价(元),11.28万,14.28万,12.28万,13.28万
厂商,比亚迪,比亚迪,比亚迪,比亚迪
卫星导航系统,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,-,-,-,-
副座椅调节方式,,,,
前轮距(mm),1573,1573,1573,1573
前轮胎规格,,,,
前电动机最大扭矩(N·m),210,210,210,210
前电动机最大功率(kW),120,120,120,120
前电动机型号,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB
前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪
前方碰撞预警,-,●,●,●
前方感知摄像头,-,,,
前排座椅功能,-,,-,-
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内置行车记录仪,-,●,-,●
内后视镜功能,,,,
全液晶仪表盘,-,●,-,●
倒车车侧预警系统,-,●,-,-
侧窗多层隔音玻璃,-,,-,
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
低速行车警告,●,●,●,●
主座椅调节方式,,,,
主动刹车/主动安全系统,-,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,●,●,●,●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
上市时间,2024.09,2024.09,2024.09,2024.09
上坡辅助,●,●,●,●
Wi-Fi热点,●,●,●,●
WLTC综合油耗(L/100km),1.86,1.14,1.86,1.14
WLTC纯电续航里程(km)_y,64,93,64,93
WLTC纯电续航里程(km)_x,64,93,64,93
USB/Type-C接口数量,,,,
OTA升级,●,●,●,●
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ETC装置,●,●,●,●
DOW开门预警,-,●,-,-
CLTC综合续航(km),1360,1400,1360,1400
CLTC纯电续航里程(km)_y,75,115,75,115
CLTC纯电续航里程(km)_x,75,115,75,115
ABS防抱死,●,●,●,●
4G/5G网络,,,,
