Feature,34500,38852,38853,38854,38915,38916,38917,38918,40912,40913,40914,40915,40916,40917,40918,40919,40920,40921,40922,40923
高度(mm),1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826
长*宽*高(mm),4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721,4826*1858*1721
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,●,-,●,●,-,-,●,●,-,-,●,●,●,●,-,-
车窗防夹手功能,●,-,-,●,-,-,●,●,-,-,-,-,-,-,●,●,●,●,-,-
