Feature,65213,65214,65215,65216,65217,65218,65219,65220,65221,65222,65223,65224,65225,65226,65227,65228,65229,65230,65231,65232,65233,66405,66406,66407,66408,66409,66410,67484,69365,69366,69367
高度(mm),1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
驾驶辅助影像,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
