Feature,70688,70690,70691,70693,70694,70696
高度(mm),1900,1900,1900,1900,1900,1900
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),5145,5145,5145,5145,5145,5145
长*宽*高(mm),5145*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900,5145*1765*1900
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,
轴距(mm),3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,○,○,○,○,○,○
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,瑞风M3 PHEV 2025款 PLUS 2.0L 精英版,瑞风M3 PHEV 2025款  PLUS 2.0L 精英版 9座,瑞风M3 PHEV 2025款 PLUS 2.0L 舒适版,瑞风M3 PHEV 2025款 PLUS 2.0L 舒适版 9座,瑞风M3 PHEV 2025款 PLUS 2.0L 智联版,瑞风M3 PHEV 2025款 PLUS 2.0L 智联版 9座
车前雾灯,,,,,,
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音识别控制系统,,,,,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,○,○,○,○,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,●,●,●,●
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),16,16,16,16,16,16
百公里耗电量(kWh/100km),16.1,16.1,16.1,16.1,16.1,16.1
疲劳驾驶提示,-,-,-,-,-,-
电芯品牌,,,,,,
电池预加热,●,●,●,●,●,●
电池能量(kWh),17.52,17.52,17.52,17.52,17.52,17.52
电池类型,,,,,,
电池快充电量范围(%)_y,25-90,25-90,25-90,25-90,25-90,25-90
电池快充电量范围(%)_x,25-90,25-90,25-90,25-90,25-90,25-90
电池快充时间(小时)_y,0.75,0.75,0.75,0.75,0.75,0.75
电池快充时间(小时)_x,0.75,0.75,0.75,0.75,0.75,0.75
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),177,177,177,177,177,177
电动机总扭矩(N·m),320,320,320,320,320,320
电动机总功率(kW),130,130,130,130,130,130
电动机(Ps),177,177,177,177,177,177
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-
液晶仪表尺寸,,,,,,
油箱容积(L),55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),130,130,130,130,130,130
最小离地间隙(mm),130,130,130,130,130,130
最大马力(Ps),136,136,136,136,136,136
最大满载质量(kg),2660,2660,2660,2660,2660,2660
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,175,175,175,175,175,175
最大扭矩(N·m)_x,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,100,100,100,100,100,100
最大功率(kW)_x,-,-,-,-,-,-
最大净功率(kW),92,92,92,92,92,92
最低荷电状态油耗(L/100km)WLTC,6.8,6.8,6.8,6.8,6.8,6.8
无钥匙进入功能,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,-,-,-,-,-,-
整备质量(kg),1985,1985,1985,1985,1985,1985
接近角(°),18,18,18,18,18,18
排量(mL),1999,1999,1999,1999,1999,1999
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-
手机APP远程功能,,,,,,
感应雨刷功能,-,-,-,-,-,-
快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,
座椅布局,,,,,,
座位数(个),,,,,,
并线辅助,-,-,-,-,-,-
巡航系统,,,,,,
导航路况信息显示,○,○,○,○,●,●
宽度(mm),1765,1765,1765,1765,1765,1765
官方0-100km/h加速(s),-,-,-,-,-,-
安全带未系提醒,,,,,,
天窗类型,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-
多媒体/充电接口,,,,,,
