Feature,66425,66426,66427,66633,67260,67261,67262,67263
高度(mm),1510,1510,1510,1510,1510,1510,1510,1510
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4770,4770,4770,4770,4770,4770,4770,4770
长*宽*高(mm),4770*1820*1510,4770*1820*1510,4770*1820*1510,4770*1820*1510,4770*1820*1510,4770*1820*1510,4770*1820*1510,4770*1820*1510
钥匙类型,,,,,,,,
道路交通标识识别,-,-,●,-,-,-,-,●
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●
辅助驾驶系统,-,-,,-,-,-,-,
辅助驾驶等级,-,-,,-,-,-,-,
轴距(mm),2760,2760,2760,2760,2760,2760,2760,2760
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,●,-,-,-,-,●
车道保持辅助系统,-,-,●,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-
车载KTV,●,●,●,●,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,-,-,-,●
车窗一键升降功能,,,,,-,-,-,
车型名称,爱跑 2024款 爱跑T 尊享版460,爱跑 2024款 爱跑 出行版502,爱跑 2024款 爱跑 公务版502,爱跑 2024款 爱跑T 行业定制版460,爱跑 2024款 改款 爱跑T 尊享版460,爱跑 2024款 爱跑 畅享版502,爱跑 2024款 爱跑T 悦享版460,爱跑 2024款 改款 爱跑 公务版502
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,,-,-,-,-,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●
自动头灯,-,-,●,-,-,-,-,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),17,17,17,17,17,17,17,17
百公里耗电量(kWh/100km),12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
电池预加热,●,●,●,●,●,●,●,●
电池能量(kWh),50.1,54.2,54.2,50.1,50.1,54.2,50.1,54.2
电池类型,,,,,,,,
电池慢充电量范围(%)_y,0-80,0-80,0-80,0-80,0-80,0-80,0-80,0-80
电池慢充电量范围(%)_x,0-80,0-80,0-80,0-80,0-80,0-80,0-80,0-80
电池慢充时间(小时)_y,6.5,7.5,7.5,6.5,6.5,7.5,6.5,7.5
电池慢充时间(小时)_x,6.5,7.5,7.5,6.5,6.5,7.5,6.5,7.5
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,-,-,-,-
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,-,-,-,-
电池快充时间(小时)_y,0.8,0.8,0.8,0.8,-,-,-,-
电池快充时间(小时)_x,0.8,0.8,0.8,0.8,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),230,230,230,230,230,230,230,230
电动机总功率(kW),130,130,130,130,130,130,130,130
电动机总功率(Ps),177,177,177,177,177,177,177,177
电动机(Ps),177,177,177,177,177,177,177,177
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,●,-,-,-,-,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
热泵空调,○,●,●,○,○,●,○,●
灯光特色功能,,,,,,,,
满载最小离地间隙(mm),130,130,130,130,130,130,130,130
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,
最高车速(km/h),150,150,150,150,150,150,150,150
最大满载质量(kg),2000,2065,2065,2000,2000,2065,2000,2065
最大扭矩(N·m),230,230,230,230,230,230,230,230
最大功率(kW),130,130,130,130,130,130,130,130
无钥匙进入功能,-,-,,-,-,-,-,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),1625,1690,1690,1625,1625,1690,1625,1690
接近角(°),15,15,15,15,15,15,15,15
换挡形式,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1
