Feature,1016437,1016438,1016439,1016440,1016441,1016442,1016443,1016444,1016445,1016446,1016447
高度(mm),2390,2390,3080,3080,3090,3090,3105,2390,3080,3090,2405
驾驶辅助影像,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990
长*宽*高(mm),5990*2180*2390,5990*2180*2390,5990*2180*3080,5990*2180*3080,5990*2180*3090,5990*2180*3090,5990*2120*3105,5990*2180*2390,5990*2180*3080,5990*2180*3090,5990*2180*2405
钥匙类型,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
轮圈材质,,,,,,,,,,,
车门数(个),2,2,2,2,2,2,2,2,2,2,2
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,乐行E路达 2023款 100.46kwh单排栏板 建材家具版 液刹,乐行E路达 2023款 100.46kwh单排栏板 建材家具版 汽刹,乐行E路达 2023款 100.46kwh单排货柜 快递物流版 液刹,乐行E路达 2023款 100.46kwh单排货柜 快递物流版 汽刹,乐行E路达 2023款 100.46kwh单排仓柵 果蔬配送版 液刹,乐行E路达 2023款 100.46kwh单排仓柵 果蔬配送版 汽刹,乐行E路达 2023款 100.46kwh单排冷藏 超级冷藏版,乐行E路达 2023款 77.28kwh单排栏板 建材家具版,乐行E路达 2023款 77.28kwh单排货柜 快递物流版,乐行E路达 2023款 77.28kwh单排仓柵 果蔬配送版,乐行E路达 2023款 77.28kwh双排栏板 市政工程版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
级别,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-
电池组质保,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),100.46,100.46,100.46,100.46,100.46,100.46,100.46,77.28,77.28,77.28,77.28
电池充电时间,-,-,-,-,-,-,-,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),420,420,420,420,420,420,420,370,370,370,370
电动机总功率(kW),167,167,167,167,167,167,167,135,135,135,135
电动机(Ps),227,227,227,227,227,227,227,184,184,184,184
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),420,420,420,420,420,420,420,370,370,370,370
最大功率(kW),167,167,167,167,167,167,167,135,135,135,135
无钥匙进入功能,,-,,-,,-,,,,,-
无钥匙启动系统,○,-,○,-,○,-,○,○,○,○,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,1165,-,-,-,-,-
挡位个数,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-
