Feature,1015914,1017957,1017958
高度(mm),1866,1866,1866
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,●,●,●
长度(mm),5435,5435,5435
长*宽*高(mm),5435*1935*1866,5435*1935*1866,5435*1935*1866
钥匙类型,,,
道路救援呼叫,●,-,-
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),3270,3270,3270
轮圈材质,,,
转向辅助灯,●,●,●
转向头灯,●,●,●
车顶行李架,○,-,-
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,○,○
车窗防夹手功能,●,○,○
车窗一键升降功能,,,
车型名称,大道EV 2024款 尊享款 长续航版 501KM,大道EV 2024款 舒享款 标准续航版 370KM,大道EV 2024款 舒享款 长续航版 501KM
车前雾灯,,,
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,非承载式,非承载式,非承载式
超声波雷达数量,,,
货箱尺寸(mm),1546x1595x546,1546x1595x546,1546x1595x546
语音识别控制系统,,,
触摸式阅读灯,●,●,●
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,皮卡,皮卡,皮卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空载最小离地间隙(mm),220,220,220
空调温度控制方式,,,
离去角(°),25,25,25
百公里耗电量(kWh/100km),17.9,17.6,17.9
疲劳驾驶提示,-,-,-
电芯品牌,,,
电池能量密度(Wh/kg),149.87,141.1,149.87
电池能量(kWh),88.02,63.75,88.02
电池类型,,,
电池慢充电量范围(%)_y,20-100,20-100,20-100
电池慢充电量范围(%)_x,20-100,20-100,20-100
电池慢充时间(小时)_y,12,8.5,12
电池慢充时间(小时)_x,12,8.5,12
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.6,0.5,0.6
电池快充时间(小时)_x,0.6,0.5,0.6
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),385,385,385
电动机总功率(kW),180,180,180
电动机总功率(Ps),245,245,245
电动机(Ps),245,245,245
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●
满载最小离地间隙(mm),208,208,208
温度分区控制,-,-,-
液晶仪表尺寸,,,
最高车速(km/h),140,140,140
最小转弯半径(m),6.4,6.4,6.4
最大满载质量(kg),3495,3440,3495
最大扭矩(N·m),385,385,385
最大功率(kW),180,180,180
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,,,
整备质量(kg),2255,2120,2255
摄像头数量,,,
接近角(°),30,30,30
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,,,
手机APP远程功能,,,
慢充接口位置,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,
快充接口位置,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),,,
并线辅助,-,-,-
巡航系统,,,
导航路况信息显示,●,○,○
对外放电,●,●,●
宽度(mm),1935,1935,1935
官方0-50km/h加速(s),3.5,3.3,3.5
官方0-100km/h加速(s),8.8,8.6,8.8
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
备胎放置方式,,,
地图品牌,,,
后雨刷,-,-,-
后轮距(mm),1620,1620,1620
后轮胎规格,,,
后电动机最大扭矩(N·m),385,385,385
后电动机最大功率(kW),180,180,180
后电动机型号,TZ220XY001,TZ220XY001,TZ220XY001
后电动机品牌,博世汽车系统,博世汽车系统,博世汽车系统
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),26.98万,18.28万,21.98万
厂商,江铃汽车,江铃汽车,江铃汽车
卫星导航系统,●,○,○
助力类型,,,
副座椅调节方式,,,
前轮距(mm),1620,1620,1620
前轮胎规格,,,
前电动机最大扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前排座椅功能,-,-,-
前悬架类型,,,
前备厢容积(L),210,210,210
前制动器类型,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,前○&nbsp;/&nbsp;后○
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,前○&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
低速行车警告,●,●,●
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,主○&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
上市时间,2024.03,2024.03,2024.03
上坡辅助,●,●,●
三电系统质保,,,
Wi-Fi热点,●,○,○
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ETC装置,○,○,○
CLTC纯电续航里程(km)_y,501,370,501
CLTC纯电续航里程(km)_x,501,370,501
ABS防抱死,●,●,●
4G/5G网络,,,
220V/230V电源,●,○,○
