Feature,1012647,1012648,1012649,1012650,1012651,1012652,1012653,1012654,1012655,1012656,1012657,1012658,1012659,1012660,1012661,1012662,1012663,1012664,1012665,1012666,1014832,1014833,1015000,1015001,1015002,1015003,1015004,1015005,1015006,1015007,1015008,1015009,1015010,1015011,1015012,1015013,1015014,1015015,1015016,1015017
高度(mm),1782,1782,1782,1782,1795,1782,1782,1782,1782,1795,1782,1782,1782,1782,1795,1782,1782,1782,1782,1795,1782,1795,1795,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1795,1795
驾驶辅助影像,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,,-,,,-,-,,,-,-,,,-,-,,,-,
长度(mm),5345,5700,5345,5700,5700,5345,5700,5345,5700,5700,5345,5700,5345,5700,5700,5345,5700,5345,5700,5700,5301,5656,5656,5301,5301,5301,5656,5656,5656,5656,5301,5301,5301,5301,5656,5656,5656,5656,5656,5656
长*宽*高(mm),5345×1835×1782,5700×1835×1782,5345×1835×1782,5700×1835×1782,5700×1835×1795,5345×1835×1782,5700×1835×1782,5345×1835×1782,5700×1835×1782,5700×1835×1795,5345×1835×1782,5700×1835×1782,5345×1835×1782,5700×1835×1782,5700×1835×1795,5345×1835×1782,5700×1835×1782,5345×1835×1782,5700×1835×1782,5700×1835×1795,5301*1905*1782,5656*1905*1795,5656*1905*1795,5301*1905*1782,5301*1905*1782,5301*1905*1782,5656*1905*1782,5656*1905*1782,5656*1905*1782,5656*1905*1782,5301*1905*1782,5301*1905*1782,5301*1905*1782,5301*1905*1782,5656*1905*1782,5656*1905*1782,5656*1905*1782,5656*1905*1782,5656*1905*1795,5656*1905*1795
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
