Feature,57293,57294,61404,61405,61406,61407,61408,61494,62225,63075,63076,63077,63078,63079,63080,64331,68045,68046,70869,70870
高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
驾驶辅助影像,-,-,,,,,,,,-,,,,-,-,,-,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,双电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,0.267,-,-,0.267,0.267,0.267,0.267,-,-,-,-,-,0.267,0.267
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675
长*宽*高(mm),4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480,4675*1835*1480
钥匙类型,,,,,,,,,,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,-,,-,,-,,-,-,-,,-,-,-,-,-,-,-
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,○,-,○,-,●,-,-,-,○,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,○,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,
车型名称,羿 2023款 标准续航行业版,羿 2023款 长续航行业版,羿 2023款  标准续航劲动版,羿 2023款  长续航劲动版,羿 2023款 长续航耀动版,羿 2023款 双电机炫动版,羿 2023款 追梦版 四驱旗舰型,羿 2023款 长续航公务版,羿 2023款 长续航智享版,羿 2023款 追梦版 40标准型,羿 2023款 追梦版 40舒适型,羿 2023款 追梦版 52舒适型,羿 2023款 追梦版 52豪华型,羿 2023款 网约版 40行业版,羿 2023款 网约版 52行业版,羿 2023款  标准续航颂靓行业版,羿 2024款 标准续航出行版,羿 2024款 长续航出行版,羿 2025款 标准续航pro,羿 2025款 长续航pro
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,,-,,-,,-,-,-,,-,-,-,-,-,-,-
车内化妆镜,-,-,,,,,,,,-,,,,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,,,,,,,-,,,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,,,,,,,,-,,,,-,-,-,-,-,-,-
语音助手唤醒词,-,-,-,-,-,-,,-,-,-,,,,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,●,●,●,●
自适应远近光,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,○,-,○,-,○,-,-,-,○,-,-,-,-,-,-,-
自动头灯,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
自动变道辅助,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
