Feature,55669,55670,55671,64803,64804,64805
高度(mm),1591,1591,1591,1596,1596,1596
驾驶辅助影像,,,,,,
驾驶模式切换,-,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,双电机,单电机,单电机,双电机
驱动方式,前置前驱,前置前驱,双电机四驱,前置前驱,前置前驱,双电机四驱
首任车主质保政策,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●
长度(mm),4440,4440,4440,4440,4440,4440
长*宽*高(mm),4440*1873*1591,4440*1873*1591,4440*1873*1591,4440*1873*1596,4440*1873*1596,4440*1873*1596
钥匙类型,,,,,,
道路救援呼叫,●,●,●,●,●,●
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶系统,,,,,,
轴距(mm),2702,2702,2702,2702,2702,2702
轮圈材质,,,,,,
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车身结构_y,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,沃尔沃C40 2022款 长续航版,沃尔沃C40 2022款 长续航版 PRO,沃尔沃C40 2022款 四驱高性能版 PRO,沃尔沃C40 2023款 长续航版,沃尔沃C40 2023款 长续航版 PRO,沃尔沃C40 2023款 四驱高性能版 PRO
车前雾灯,,,,,,
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),26,26,26,26,26,26
百公里耗电量(kWh/100km),13.8,13.8,16.2,13.8,13.8,16.2
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),1.56,1.56,1.83,1.56,1.56,1.83
电池预加热,-,-,-,●,●,●
电池能量密度(Wh/kg),153.3,153.3,158.8,153.3,153.3,158.8
电池能量(kWh),69,69,78,69,69,78
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置+后置,前置,前置,前置+后置
电动机总扭矩(N·m),330,330,660,330,330,660
电动机总功率(kW),170,170,300,170,170,300
电动机总功率(Ps),231,231,408,231,231,408
电动机(Ps),231,231,408,231,231,408
电动座椅记忆功能,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,-,●,●,-,●,●
灯光特色功能,-,,,-,,
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
最高车速(km/h),160,160,180,160,160,180
最大满载质量(kg),2470,2470,2620,2460,2460,2620
最大扭矩(N·m),330,330,660,330,330,660
最大功率(kW),170,170,300,170,170,300
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,●,●,-,●,●
方向盘位置调节,,,,,,
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),1986,1986,2144,1996,1994,2136
接近角(°),21,21,21,21,21,21
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,,,-,,
手机无线充电功能,,,,,,
手机互联/映射,-,-,-,-,-,-
慢充时间(小时)_y,10,10,10,10,10,10
慢充时间(小时)_x,10,10,10,10,10,10
感应雨刷功能,,,,,,
感应后备厢,●,●,●,●,●,●
快充电量百分比,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80
快充时间(小时)_y,0.67,0.67,0.67,0.67,0.67,0.67
快充时间(小时)_x,0.67,0.67,0.67,0.67,0.67,0.67
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
宽度(mm),1873,1873,1873,1873,1873,1873
官方0-100km/h加速(s),7.2,7.2,4.7,7.4,7.4,4.7
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,无,无,无,无,无,无
地图品牌,,,,,,
四驱形式,-,-,电动四驱,-,-,电动四驱
后雨刷,-,-,-,-,-,-
后轮距(mm),1603,1603,1603,1603,1603,1603
后轮胎规格,255/45 R19,255/45 R19,255/45 R19,255/45 R19,255/45 R19,255/45 R19
后电动机最大扭矩(N·m),-,-,330,-,-,330
后电动机最大功率(kW),-,-,150,-,-,150
后方碰撞预警,●,●,●,●,●,●
后排独立空调,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排座椅放倒形式,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可加热喷水嘴,-,●,●,-,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),28.90万,30.90万,33.90万,28.90万,30.90万,33.90万
厂商,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太
卫星导航系统,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1598,1598,1598,1598,1598,1598
前轮胎规格,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19,235/50 R19
前电动机最大扭矩(N·m),330,330,330,330,330,330
前电动机最大功率(kW),170,170,150,170,170,150
前方碰撞预警,●,●,●,●,●,●
前排座椅功能,,,,,,
前排中间气囊,●,●,●,●,●,●
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
内后视镜功能,,,,,,
全液晶仪表盘,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,●,●,●
低速行车警告,●,●,●,●,●,●
主座椅调节方式,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
