Feature,69014,69015,69168,69169,69170,69171,69260,69261,69262,69263,70505,71630,71631,71632,71633,71634,71635,71636
高精地图,●,●,-,●,-,-,-,-,-,●,-,-,-,-,●,●,●,●
高度(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258
面部识别,●,●,●,●,●,●,-,-,-,●,-,●,●,●,●,●,●,●
零重力座椅,,,,,,,-,-,-,,-,,,,,,,
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
长*宽*高(mm),4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,-,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,-,-,-,DOHC,DOHC,-,DOHC,DOHC,-,-
遥控泊车,●,●,-,●,-,-,-,-,-,●,-,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,-,自然吸气,自然吸气,自然吸气,自然吸气,-,自然吸气,自然吸气,-,-,-,自然吸气,自然吸气,-,自然吸气,自然吸气,-,-
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶系统,,,-,,-,-,-,-,-,,-,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,,,
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,,,,,,,,
车机智能芯片,,,,,,,,,,,,,,,,,,
车型名称,深蓝S07 2024款 S07 520Max 乾崑智驾ADS SE纯电版,深蓝S07 2024款 S07 285Max 乾崑智驾ADS SE增程版,深蓝S07 2024款 S07 215Max 增程版,深蓝S07 2024款 S07 215Max 乾崑智驾ADS SE增程版,深蓝S07 2024款 S07 285Max 增程版,深蓝S07 2024款 S07 520Max 纯电版,深蓝S07 2024款 S07 125Pro 增程版,深蓝S07 2024款 S07 215Pro 增程版,深蓝S07 2024款 S07 520Pro 纯电版,深蓝S07 2024款 S07 628Max 乾崑智驾ADS SE纯电版,深蓝S07 2024款 628商务纯电版,深蓝S07 2025款 215Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 285Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 520Max 深蓝智驾AD PRO纯电版,深蓝S07 2025款 215Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 285Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 520Max 华为乾崑智驾ADS SE纯电版,深蓝S07 2025款 628Max 华为乾崑智驾ADS SE纯电版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,-,-,-,,-,,,,,,,
车内摄像头数量,,,,,,,-,-,-,,-,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,
语音助手唤醒词,,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
记忆泊车,○,○,-,○,-,-,-,-,-,○,-,-,-,-,○,○,○,○
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驾驶辅助路段,,,-,,-,-,-,-,-,,-,-,-,-,,,,
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,●,-,-,-,-,-,●,-,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,●,-,●,-,-,-,-,-,●,-,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,纯电动,增程式,增程式,增程式,增程式,纯电动,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动,增程式,增程式,纯电动,纯电动
能源类型_x,纯电动,增程式,增程式,增程式,增程式,纯电动,增程式,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动,增程式,增程式,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,
缸盖材料,-,铝合金,铝合金,铝合金,铝合金,-,铝合金,铝合金,-,-,-,铝合金,铝合金,-,铝合金,铝合金,-,-
缸体材料,-,铝合金,铝合金,铝合金,铝合金,-,铝合金,铝合金,-,-,-,铝合金,铝合金,-,铝合金,铝合金,-,-
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
