Feature,65093,65094,65095
高度(mm),1624,1624,1624
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,双电机,双电机
驱动方式,后置后驱,双电机四驱,双电机四驱
首任车主质保政策,-,-,-
风阻系数(Cd),0.23,0.23,0.23
陡坡缓降,-,-,-
长度(mm),4750,4750,4750
长*宽*高(mm),4750*1921*1624,4750*1921*1624,4750*1921*1624
钥匙类型,,,
遥控泊车,○,○,○
道路交通标识识别,○,○,○
远程启动功能,,,
远程召唤,○,○,○
远光灯光源,,,
近光灯光源,,,
辅助驾驶芯片,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),2890,2890,2890
轮圈材质,,,
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机系统存储（GB）,,,
车机系统内存（GB）,,,
车型名称,Model Y 2023款 后轮驱动版,Model Y 2023款 长续航全轮驱动版,Model Y 2023款 高性能全轮驱动版
车前雾灯,-,,
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
芯片总算力,,,
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,○,○,○
自动头灯,●,●,●
自动变道辅助,○,○,○
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,
第二排座椅功能,,,
空调温度控制方式,,,
离去角(°),18,18,18
百公里耗电量(kWh/100km),-,13.4,14.4
疲劳驾驶提示,-,-,-
电芯品牌,宁德时代,LG新能源,LG新能源
电能当量燃料消耗量(L/100km),-,1.52,1.63
电池预加热,●,●,●
电池能量密度(Wh/kg),126,168,168
电池能量(kWh),60,78.4,78.4
电池组质保,八年或16万公里,八年或19.2万公里,八年或19.2万公里
电池类型,磷酸铁锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电机布局,后置,前置+后置,前置+后置
电动机总扭矩(N·m),440,559,659
电动机总功率(kW),220,331,357
电动机总功率(Ps),299,450,486
电动机(Ps),299,450,486
电动座椅记忆功能,,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●
热泵空调,●,●,●
满载最小离地间隙(mm),167,167,167
温度分区控制,●,●,●
液晶仪表尺寸,-,-,-
最高车速(km/h),217,217,250
最小转弯半径(m),6.065,6.065,6.065
最大爬坡角度(°),16.7,16.7,16.7
最大爬坡度(%),30,30,30
最大满载质量(kg),2319,2389,2403
最大扭矩(N·m),440,559,659
最大功率(kW),220,331,357
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
无框设计车门,●,●,●
方向盘记忆,●,●,●
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,●,●,●
方向盘位置调节,,,
整车质保,四年或8万公里,四年或8万公里,四年或8万公里
整备质量(kg),1911,1981,1998
摄像头数量,,,
接近角(°),17,17,17
换电,不支持,不支持,不支持
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机互联/映射,-,-,-
手机APP远程功能,,,
慢充时间(小时)_y,10,10,10
慢充时间(小时)_x,10,10,10
感应雨刷功能,,,
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,1,1,1
快充时间(小时)_x,1,1,1
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),5,5,5
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1921,1921,1921
官方0-100km/h加速(s),5.9,5,3.7
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多层隔音玻璃,,,
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,无,无,无
四驱形式,-,电动四驱,电动四驱
哨兵模式/千里眼,●,●,●
后雨刷,-,-,-
后轮距(mm),1636,1636,1630
后轮胎规格,255/45 R19,255/45 R19,275/35 R21
后电动机最大扭矩(N·m),440,340,440
后电动机最大功率(kW),220,194,220
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,,,
后排侧隐私玻璃,●,●,●
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●
后备厢容积(L),2158,2158,2158
后制动器类型,通风盘式,通风盘式,通风盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),26.39万,29.99万,36.39万
厂商,特斯拉中国,特斯拉中国,特斯拉中国
卫星导航系统,●,●,●
单踏板模式,●,●,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1636,1636,1646
前轮胎规格,255/45 R19,255/45 R19,255/35 R21
前电动机最大扭矩(N·m),-,219,219
前电动机最大功率(kW),-,137,137
前方碰撞预警,●,●,●
前排座椅功能,,,
前排中间气囊,●,●,●
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
信号灯识别,○,○,○
低速行车警告,●,●,●
主座椅调节方式,,,
主动刹车/主动安全系统,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
中央差速器结构,-,-,-
上市时间,2023.10,2023.10,2023.10
上坡辅助,●,●,●
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
CLTC纯电续航里程(km)_y,554,688,615
CLTC纯电续航里程(km)_x,554,688,615
ABS防抱死,●,●,●
4G/5G网络,,,
