Feature,45627,45628
高度(mm),1709,1709
驻车制动类型,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱
面部识别,-,-
陡坡缓降,-,-
长度(mm),4696,4696
长*宽*高(mm),4696*1906*1709,4696*1906*1709
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,-,-
进气形式,涡轮增压,涡轮增压
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),2700,2700
转向辅助灯,●,●
转向头灯,-,-
车顶行李架,●,●
车门数(个),5,5
车道偏离预警系统,-,●
车道保持辅助系统,-,-
车载空气净化器,-,-
车载电视,-,-
车载冰箱,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车型名称,Mattu 2020款 1.6T DCT精英型,Mattu 2020款 1.6T DCT尊贵型
车内香氛装置,-,-
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
负离子发生器,-,-
触摸式阅读灯,-,-
被动行人保护,-,-
行程(mm),-,-
行李厢容积(L),-,-
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动泊车入位,-,-
自动头灯,●,●
膝部气囊,-,-
能源类型,汽油,汽油
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸径(mm),-,-
缸体材料,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV
简称,6挡双离合,6挡双离合
第二排独立座椅,-,-
空气悬架,-,-
疲劳驾驶提示,-,-
电磁感应悬架,-,-
电池预加热,-,-
电动扰流板,-,-
电动后备厢位置记忆,-,-
电动后备厢,-,-
电动可调踏板,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
燃料形式,汽油,汽油
温度分区控制,-,●
涉水感应系统,-,-
油箱容积(L),60,60
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),185,185
最小离地间隙(mm),175,175
最大马力(Ps),200,200
最大扭矩转速(rpm),1600-4000,1600-4000
最大扭矩(N·m)_y,270,270
最大扭矩(N·m)_x,270,270
最大功率转速(rpm),6000,6000
最大功率(kW)_y,147,147
最大功率(kW)_x,147,147
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,三年或10万公里,三年或10万公里
整备质量(kg),1660,1660
整体主动转向系统,-,-
排量(mL),1598,1598
挡位个数,6,6
手势控制,-,-
感应后备厢,-,-
座位数(个),5,5
并线辅助,-,●
工信部综合油耗(L/100km),7.7,7.7
尾门玻璃独立开启,-,-
导航路况信息显示,●,●
宽度(mm),1906,1906
实测油耗(L/100km),-,-
实测100-0km/h制动(m),-,-
实测0-100km/h加速(s),-,-
官方0-100km/h加速(s),-,-
大灯高度可调,●,●
大灯清洗装置,-,-
大灯延时关闭,●,●
夜视系统,-,-
多功能方向盘,●,●
备胎规格,非全尺寸,非全尺寸
后风挡遮阳帘,-,-
后雨刷,●,●
后轮距(mm),1635,1635
后轮胎规格,235/45 R20,235/45 R20
后排独立空调,-,-
后排杯架,●,●
后排控制多媒体,-,-
后排座椅防下滑气囊,-,-
后排座椅电动调节,-,-
后排座椅电动放倒,-,-
后排小桌板,-,-
后排安全带式气囊,-,-
后排侧隐私玻璃,-,-
后排中央安全气囊,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
后制动器类型,盘式,盘式
可变转向比,-,-
可加热喷水嘴,-,-
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,6挡双离合,6挡双离合
发动机电子防盗,●,●
发动机特有技术,-,-
发动机型号,CE16,CE16
发动机启停技术,●,●
发动机,1.6T 200马力 L4,1.6T 200马力 L4
压缩比,-,-
厂商指导价(元),13.68万,14.88万
厂商,猎豹汽车,猎豹汽车
助力类型,电动助力,电动助力
副驾驶座垫式气囊,-,-
副驾驶位后排可调节按钮,-,-
前轮距(mm),1635,1635
前轮胎规格,235/45 R20,235/45 R20
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内置行车记录仪,-,-
全液晶仪表盘,-,●
倒车车侧预警系统,-,-
供油方式,直喷,直喷
主动降噪,-,-
主动闭合式进气格栅,-,-
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-
中央差速器锁止功能,-,-
上市时间,2020.05,2020.05
上坡辅助,●,●
OTA升级,-,-
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,-,-
GPS导航系统,●,●
ABS防抱死,●,●
220V/230V电源,-,-
