Feature,47592,56216,56217,63877
高度(mm),1659,1670,1667,1670
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-
陡坡缓降,●,●,●,●
限滑差速器/差速锁,,,,
长度(mm),4859,4846,4847,4846
长*宽*高(mm),4859*1979*1659,4846*1948*1670,4847*1979*1667,4846*1948*1670
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,○,○,○,○
远程启动功能,,,,
远光灯光源,,,,
进气形式,双涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
运动风格座椅,●,○,○,○
辅助驾驶等级,,,,
轴距(mm),2901,2901,2901,2901
轮圈材质,,,,
车顶行李架,○,○,○,○
车门数(个),5,5,5,5
车道居中保持,○,○,○,○
车道偏离预警系统,○,○,○,○
车道保持辅助系统,○,○,○,○
车载空气净化器,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,Grecale格雷嘉 2023款 3.0T Trofeo,Grecale格雷嘉 2023款 2.0T GT,Grecale格雷嘉 2023款 2.0T Modena,Grecale格雷嘉 2023款 2.0T 飞白特别版
车前雾灯,-,-,-,-
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
语音识别控制系统,,,,
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
自适应远近光,○,○,○,○
自动驻车,-,-,-,-
自动头灯,●,●,●,●
能量回收系统,-,●,●,●
能源类型,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,,
第二排座椅功能,,,,
空调温度控制方式,,,,
空气悬架,●,○,○,○
疲劳驾驶提示,○,○,○,○
电动座椅记忆功能,,,,
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
燃料形式,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,,,,
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),64,64,64,64
气缸数(个),6,4,4,4
气缸排列形式,V,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),285,240,240,240
最大马力(Ps),530,300,330,300
最大扭矩转速(rpm),2750,2000-4500,2250-4500,2000-4500
