Feature,59483
高度(mm),1401
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动方式,
风阻系数(Cd),-
陡坡缓降,-
限滑差速器/差速锁,
长度(mm),4821
长*宽*高(mm),4821*1917*1401
钥匙类型,
配气机构,DOHC
道路救援呼叫,●
道路交通标识识别,●
远程启动功能,
远光灯光源,
进气形式,自然吸气
近光灯光源,
运动风格座椅,●
运动外观套件,●
辅助驾驶等级,
轴距(mm),2720
轮圈材质,
车门数(个),
车门开启方式,平开门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,-
车载智能系统,
车身结构_y,硬顶跑车
车身结构_x,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车型名称,Mustang 2024款 5.0L V8 Dark Horse
车前雾灯,
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
语音识别控制系统,
语音分区域唤醒识别,
被动行人保护,●
行车电脑显示屏幕,
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动头灯,●
能源类型_y,汽油
能源类型_x,汽油
胎压监测功能,
缺气保用轮胎,-
缸盖材料,铝合金
缸体材料,铝合金
级别,跑车
简称,10挡手自一体
第二排座椅调节,-
空调温度控制方式,
疲劳驾驶提示,●
电磁感应悬架,●
电动座椅记忆功能,-
电动后备厢,-
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
燃油标号,92号
温度分区控制,●
液晶仪表尺寸,
油箱容积(L),60.9
气缸数(个),8
气缸排列形式,V
毫米波雷达数量,
每缸气门数(个),4
最高车速(km/h),249
最大马力(Ps),454
最大满载质量(kg),2170
最大扭矩转速(rpm),5100
最大扭矩(N·m)_y,523
最大扭矩(N·m)_x,523
最大功率转速(rpm),6750
最大功率(kW)_y,334
最大功率(kW)_x,334
最大净功率(kW),334
无钥匙进入功能,
无钥匙启动系统,●
无框设计车门,●
方向盘记忆,-
方向盘材质,
方向盘换挡,●
方向盘加热,●
方向盘位置调节,
整车质保,
整备质量(kg),1825
排量(mL),5038
换挡形式,
挡位个数,10
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,
手机APP远程功能,
感应雨刷功能,
座椅材质,
座位数(个),
应用商店,●
并线辅助,●
巡航系统,
导航路况信息显示,●
宽度(mm),1917
官方0-100km/h加速(s),4.6
安全带未系提醒,
天窗类型,-
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外后视镜功能,
备胎规格,
地图品牌,
后雨刷,-
后轮距(mm),1623
后轮胎规格,
后排独立空调,-
后排杯架,-
后排座椅放倒形式,
后悬架类型,
后座出风口,-
后备厢容积(L),-
后制动器类型,
可变悬架功能,
变速箱类型,手自一体变速箱(AT)
变速箱,10挡手自一体
发动机电子防盗,●
发动机布局,纵置
发动机型号,0
发动机启停技术,●
发动机,5.0L 454马力 V8
厂商指导价(元),72.50万
厂商,福特(进口)
卫星导航系统,●
助力类型,
副驾驶位后排可调节按钮,-
副座椅调节方式,
前轮距(mm),1580
前轮胎规格,
前方碰撞预警,●
前排座椅功能,
前悬架类型,
前制动器类型,
前/后驻车雷达,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后-
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内后视镜功能,
全液晶仪表盘,●
倒车车侧预警系统,●
供油方式,混合喷射
主座椅调节方式,
主动降噪,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2024.02
上坡辅助,●
Wi-Fi热点,●
WLTC综合油耗(L/100km),11.3
USB/Type-C接口数量,
OTA升级,-
LED日间行车灯,●
ISOFIX儿童座椅接口,●
ETC装置,●
DOW开门预警,●
ABS防抱死,●
4G/5G网络,
