Feature,50685,50686,53652
高度(mm),1621,1621,1613
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,双电机
驱动方式,后置后驱,后置后驱,双电机四驱
首任车主质保政策,-,-,-
陡坡缓降,-,-,-
长度(mm),4730,4730,4730
长*宽*高(mm),4730*1886*1621,4730*1886*1621,4730*1886*1613
钥匙类型,,,
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),2984,2984,2984
轮圈材质,,,
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,福特电马 2021款 跃世后驱版(标准续航),福特电马 2021款 无疆后驱豪华版(长续航),福特电马 2021款 GT
车前雾灯,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动头灯,●,●,●
膝部气囊,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
离去角(°),26,26,26
百公里耗电量(kWh/100km),13.5,14.3,17.9
疲劳驾驶提示,●,●,●
电芯品牌,比亚迪,比亚迪,比亚迪
电能当量燃料消耗量(L/100km),1.53,1.62,2.02
电池能量密度(Wh/kg),136.7,145,145
电池能量(kWh),61.5,80.3,80.3
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,前置+后置
电动机总扭矩(N·m),430,430,860
电动机总功率(kW),201,224,359
电动机总功率(Ps),273,305,488
电动机(Ps),273,305,488
电动座椅记忆功能,-,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●
灯光特色功能,-,,
满载最小离地间隙(mm),149,150,144
温度分区控制,●,●,●
液晶仪表尺寸,,,
毫米波雷达数量,,,
最高车速(km/h),180,180,200
最小转弯半径(m),6.05,6.05,6.05
最大爬坡角度(°),16.7,16.7,16.7
最大爬坡度(%),30,30,30
最大满载质量(kg),2366,2487,2641
最大扭矩(N·m),430,430,860
最大功率(kW),201,224,359
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,●,●
方向盘位置调节,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1956,2077,2231
摄像头数量,,,
接近角(°),16,16,16
换电,不支持,不支持,不支持
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,,
手机无线充电功能,,,
手机互联/映射,-,-,-
手机APP远程功能,,,
慢充时间(小时)_y,4.5,3.9,3.9
慢充时间(小时)_x,4.5,3.9,3.9
感应雨刷功能,-,,
感应后备厢,-,●,●
快充电量百分比,80,80,80
快充电量(%),80,80,80
快充时间(小时)_y,0.45,0.45,0.45
快充时间(小时)_x,0.45,0.45,0.45
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),5,5,5
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1886,1886,1886
官方0-100km/h加速(s),6.2,6.5,3.65
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多层隔音玻璃,-,,
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,无,无,无
四驱形式,-,-,电动四驱
后雨刷,●,●,●
后轮距(mm),1633,1633,1633
后轮胎规格,225/60 R18,225/55 R19,245/45 R20
后电动机最大扭矩(N·m),430,430,430
后电动机最大功率(kW),210,210,210
后方碰撞预警,●,●,●
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,,,
后排侧隐私玻璃,●,●,●
后悬架类型,五连杆独立悬架,五连杆独立悬架,五连杆独立悬架
后座出风口,●,●,●
后备厢容积(L),518-1385,518-1385,518-1385
后制动器类型,盘式,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),24.99万,28.89万,36.99万
厂商,长安福特,长安福特,长安福特
卫星导航系统,●,●,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1624,1624,1624
前轮胎规格,225/60 R18,225/55 R19,245/45 R20
前电动机最大扭矩(N·m),-,-,430
前电动机最大功率(kW),-,-,210
前方碰撞预警,●,●,●
前排座椅功能,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前备厢容积(L),100,100,100
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,●,●,●
倒车车侧预警系统,●,●,●
低速行车警告,●,●,●
主座椅调节方式,,,
主动闭合式进气格栅,●,●,●
主动刹车/主动安全系统,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
