Feature,35704,36648,36649,36650,36651,36652,40711,40712,40713,41625,41626,41627
高度(mm),1701,1685,1701,1701,1701,1701,1701,1701,1701,1685,1701,1701
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524
长*宽*高(mm),4524*1838*1701,4524*1838*1685,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1685,4524*1838*1701,4524*1838*1701
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,●,-,-,-,-,-,-,-,●,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
转向辅助灯,●,-,-,●,●,●,●,●,●,-,-,●
转向头灯,●,-,-,●,●,●,●,●,●,-,-,●
车顶行李架,●,-,●,●,●,●,●,●,●,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,●,-,-,-
车道保持辅助系统,●,-,-,-,-,-,-,-,●,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
