Feature,61569,61633,61634,61635,61636,61637,61638,62375,63689,63716,63718
高度(mm),1755,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755
驾驶辅助影像,,-,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905
长*宽*高(mm),4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755,4905*1930*1755
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,-,●,●,●,-,●,●,●
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动外观套件,-,-,-,-,-,-,-,-,●,●,●
轴距(mm),2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865
轮圈材质,,,,,,,,,,,
转向头灯,●,-,-,-,-,-,●,-,-,●,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,-,●,-,-,●,-
车道偏离预警系统,●,-,-,-,●,●,●,-,●,●,●
车道保持辅助系统,●,-,-,-,●,●,●,-,●,●,●
车载空气净化器,●,-,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,领裕 2023款 EcoBoost 225 尊领型PLUS 7座（2/2/3）,领裕 2023款 EcoBoost 225 精领型 6座,领裕 2023款 EcoBoost 225 铂领型 7座（2/3/2）,领裕 2023款 EcoBoost 225 铂领型 7座（2/2/3）,领裕 2023款 EcoBoost 225 尊领型 7座（2/3/2）,领裕 2023款 EcoBoost 225 尊领型 7座（2/2/3）,领裕 2023款 EcoBoost 225 尊领型PLUS 7座（2/3/2）,领裕 2023款 EcoBoost 225 铂领型 5座,领裕 2023款 EcoBoost 225 黑曜倾橙版尊领型 7座（2/2/3）,领裕 2023款 EcoBoost 225 黑曜倾橙版尊领型 PLUS 7座（2/2/3）,领裕 2023款 EcoBoost 225 黑曜倾橙版尊领型 7座（2/3/2）
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,,,,-,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,●,●,●,-,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-,●,-,-,●,-
自动头灯,●,-,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
第二排独立座椅,●,●,-,●,-,●,-,-,●,●,-
第二排座椅调节,,,,,,,,,,,
第二排座椅电动调节,●,-,-,-,-,●,-,-,-,●,-
第二排座椅功能,,-,-,-,,,,-,,,
空调温度控制方式,,,,,,,,,,,
离去角(°),24,24,24,24,24,24,24,24,24,24,24
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,-,-,-,-,-,,-,-,,-
电动后备厢位置记忆,●,-,●,●,●,●,●,●,●,●,●
电动后备厢,●,-,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,-,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),64,64,64,64,64,64,64,64,64,64,64
