Feature,1013910,1015962,1015963,1015964,1015965,1015966,1015967,1015968,1015969,1015970,1015971
高度(mm),1945,2420,2420,1945,2420,2420,2055,2620,2450,2055,2620
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4880,4930,4930,4880,4930,4930,5550,5620,5585,5970,5995
长*宽*高(mm),4880*1680*1945,4930*1695*2420,4930*1695*2420,4880*1680*1945,4930*1695*2420,4930*1695*2420,5550*1880*2055,5620*1900*2620,5585*1880*2450,5970*1940*2055,5995*1960*2620
钥匙类型,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,
进气形式,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,
轴距(mm),2600,2600,2600,2600,2600,2600,3200,3200,3200,3400,3400
轮圈材质,,,,,,,,,,,
车门数(个),2,2,2,2,2,2,2,2,2,2,2
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,祥菱M新能源 2023款 M1比亚迪平板货箱,祥菱M新能源 2023款 M1比亚迪箱式货箱,祥菱M新能源 2023款 M1比亚迪仓栅式货箱,祥菱M新能源 2023款 M1宁德平板货箱,祥菱M新能源 2023款 M1宁德箱式货箱,祥菱M新能源 2023款 M1宁德仓栅式货箱,祥菱M新能源 2023款 M2标轴平板货箱,祥菱M新能源 2023款 M2标轴箱式货箱,祥菱M新能源 2023款 M2标轴仓栅式货箱,祥菱M新能源 2023款 M2长轴平板货箱,祥菱M新能源 2023款 M2长轴箱式货箱
车前雾灯,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3050x1560x360,3050x1560x1310/1570/1700,3050x1560x1310/1570/1700,3050x1560x360,3050x1560x1310/1570/1700,3050x1560x1310/1570/1700,3700x1760x360,3700x1760x1700,3700x1760x1700,4120x1820x360,4050x1820x1700
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
能源类型,-,-,-,-,-,-,-,-,-,-,-
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-,-,-,-
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-
