Feature,56029,57064,57130,57131,57132,57134,58991,63187
高度(mm),1920,1920,1920,1920,1920,1900,1920,1920
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,双电机,双电机,单电机,双电机,单电机,双电机,双电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
面部识别,●,●,-,-,-,●,-,-
陡坡缓降,●,●,●,●,●,●,●,●
长度(mm),5250,5250,5250,5250,5250,5250,5250,5250
长*宽*高(mm),5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1900,5250*1960*1920,5250*1960*1920
钥匙类型,,,,,,,,
配气机构,DOHC,-,-,DOHC,DOHC,DOHC,-,DOHC
遥控泊车,●,●,-,-,-,●,-,-
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,涡轮增压,-,-,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压
近光灯光源,,,,,,,,
辅助驾驶系统,,,,,,,,
辅助驾驶等级,,,,,,,,
轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,-
车载智能系统,,,,,,,,
车载冰箱,●,●,●,●,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,腾势D9 2022款 DM-i 970 四驱旗舰型,腾势D9 2022款 EV 600 四驱旗舰型,腾势D9 2022款 EV 620 尊贵型,腾势D9 2022款 DM-i 970 四驱尊荣型,腾势D9 2022款 DM-i 1040 尊贵型,腾势D9 2023款 PREMIER 创始版,腾势D9 2022款 EV 600 四驱尊荣型,腾势D9 2023款 DM-i 965 尊享型
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,,
车内摄像头数量,,,-,-,-,,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,-
语音连续识别,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,-,-,●,-,-
自动头灯,●,●,●,●,●,●,●,●
自动变道辅助,●,●,-,-,-,●,-,-
膝部气囊,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力
能源类型_x,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力
胎压监测功能,,,,,,,,
缺气保用轮胎,●,●,-,-,-,●,-,-
缸盖材料,铝合金,-,-,铝合金,铝合金,铝合金,-,铝合金
缸体材料,铝合金,-,-,铝合金,铝合金,铝合金,-,铝合金
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
系统综合扭矩(N·m),681,-,-,681,571,-,-,571
系统综合功率(kW),299,-,-,299,254,-,-,221
系统综合功率(Ps),407,-,-,407,345,-,-,301
简称,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,E-CVT无级变速
第二排独立座椅,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,
第三排座椅调节,,,,,,-,,
空调温度控制方式,,,,,,,,
空气质量监测,-,-,-,-,-,●,-,-
离去角(°),15,15,15,15,15,14,15,15
百公里耗电量(kWh/100km),27.1,18.4,17.9,27.1,25.5,-,18.4,-
疲劳驾驶提示,●,●,-,-,-,●,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),-,2.08,2.02,-,-,-,2.08,-
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),-,150,150,-,-,-,150,-
电池能量(kWh),40.06,103.36,103.36,40.06,40.06,40,103.36,20.39
电池类型,,,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,80,-,-,80,80,-,-,-
电池快充电量范围(%)_x,80,-,-,80,80,-,-,-
电池快充时间(小时)_y,0.42,-,-,0.42,0.42,-,-,-
电池快充时间(小时)_x,0.42,-,-,0.42,0.42,-,-,-
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置,前置+后置,前置,前置+后置,前置+后置,前置
电动机总扭矩(N·m),450,470,360,450,340,450,470,340
电动机总功率(kW),215,275,230,215,170,215,275,170
电动机总功率(Ps),292,374,313,292,231,292,374,231
电动机(Ps),292,374,313,292,231,292,374,231
电动座椅记忆功能,,,-,-,-,,,-
电动吸合车门,-,-,-,-,-,,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●
环保标准_y,国VI,-,-,国VI,国VI,国VI,-,国VI
环保标准_x,国VI,-,-,国VI,国VI,国VI,-,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,-,-,92号,92号,92号,-,92号
热泵空调,-,●,●,-,-,-,●,-
满载最小离地间隙(mm),140,140,140,140,140,-,140,140
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),53,-,-,53,53,53,-,53
气缸数(个),4,-,-,4,4,4,-,4
气缸排列形式,L,-,-,L,L,L,-,L
毫米波雷达数量,,,,,,,,
每缸气门数(个),4,-,-,4,4,4,-,4
最高车速(km/h),180,180,180,180,180,180,180,180
最小转弯半径(m),5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
最大马力(Ps),139,374,313,139,139,139,374,139
最大满载质量(kg),3190,3310,3215,3190,3090,3190,3310,2995
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,231,470,360,231,231,231,470,231
最大扭矩(N·m)_x,681,470,360,681,571,-,470,571
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大功率(kW)_y,102,275,230,102,102,102,275,102
最大功率(kW)_x,299,275,230,299,254,-,275,221
最大净功率(kW),96,-,-,96,96,96,-,96
最低荷电状态油耗(L/100km),6.7,-,-,6.7,6.2,6.8,-,6.1
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,○,○,○,○,○,●,○,○
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),2665,2785,2690,2665,2565,2750,2785,2470
摄像头数量,,,,,,,,
接近角(°),15,15,15,15,15,14,15,15
排量(mL),1497,-,-,1497,1497,1497,-,1497
换挡形式,,,,,,,,
挡位个数,无级变速,1,1,无级变速,无级变速,无级变速,1,无级变速
扬声器数量,,,,,,,,
扬声器品牌名称,,,,,,,,
手机无线充电功能,,,,,,,,
手机无线充电功率,-,-,-,-,-,,-,-
手机互联/映射,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,,,,,
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),80,166,166,80,80,80,166,45
座椅材质,,,,,,,,
座椅布局,,,,,,-,,
座位数(个),,,,,,,,
应用商店,●,●,●,●,●,●,●,●
并线辅助,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●
对外交流放电功率(kW),6,6,6,6,6,-,6,6
宽度(mm),1960,1960,1960,1960,1960,1960,1960,1960
官方0-100km/h加速(s),7.9,6.9,9.5,7.9,9.5,7.9,6.9,9.5
安全带未系提醒,,,,,,,,
天窗类型,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
四驱形式,,,-,,-,,,-
后雨刷,●,●,●,●,●,●,●,●
后轮距(mm),1675,1675,1675,1675,1675,1675,1675,1675
后轮胎规格,,,,,,,,
后电动机最大扭矩(N·m),110,110,-,110,-,110,110,-
后电动机最大功率(kW),45,45,-,45,-,45,45,-
后电动机型号,TZ180XSN,TZ180XSN,-,TZ180XSN,-,TZ180XSN,TZ180XSN,-
后电动机品牌,比亚迪,比亚迪,-,比亚迪,-,比亚迪,比亚迪,-
后方碰撞预警,●,●,●,●,●,●,●,●
后排独立空调,●,●,●,●,●,●,●,●
