Feature,61899,64054
高度(mm),1725,1725
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,前置四驱,前置四驱
首任车主质保政策,-,-
面部识别,●,●
陡坡缓降,●,●
限滑差速器/差速锁,,
防侧翻系统,●,●
长度(mm),4949,4949
长*宽*高(mm),4949*1950*1725,4949*1950*1725
钥匙类型,,
配气机构,DOHC,DOHC
遥控泊车,●,●
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,●,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶系统,,
辅助驾驶等级,,
轴距(mm),2830,2830
轮圈材质,,
转向辅助灯,●,●
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车载KTV,●,●
车身结构_y,SUV,SUV
车身结构_x,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,腾势N8 2023款 四驱超混旗舰六座版,腾势N8 2023款 四驱超混旗舰七座版
车前雾灯,-,-
车内香氛装置,●,●
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音连续识别,●,●
语音识别控制系统,,
语音分区域唤醒识别,,
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驾驶辅助路段,,
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
能量回收系统,●,●
能源类型,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型SUV,中大型SUV
简称,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,●,-
第二排座椅调节,,
第二排座椅电动调节,●,-
第二排座椅功能,,-
第三排座椅调节,,
空调温度控制方式,,
离去角(°),20,20
百公里耗电量(kWh/100km),24.8,24.8
疲劳驾驶提示,●,●
电芯品牌,西安众迪,西安众迪
电池预加热,●,●
电池能量(kWh),45.8,45.8
电池组质保,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),675,675
电动机总功率(kW),360,360
电动机总功率(Ps),490,490
电动机(Ps),490,490
电动座椅记忆功能,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
燃料形式,插电式混合动力,插电式混合动力
热泵空调,●,●
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),53,53
气缸数(个),4,4
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
模拟声浪,●,●
最高车速(km/h),190,190
最小转弯半径(m),5.9,5.9
最大马力(Ps),139,139
最大满载质量(kg),2975,2975
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,231,231
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),-,-
最大功率(kW)_y,102,102
最大功率(kW)_x,-,-
最大净功率(kW),96,96
最低荷电状态油耗(L/100km),6.45,6.45
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,●,●
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,六年或15万公里,六年或15万公里
整备质量(kg),2450,2450
摄像头数量,,
接近角(°),21,21
排量(mL),1497,1497
换挡形式,,
挡位个数,无级变速,无级变速
拖挂钩,,
拖挂模式,○,○
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机互联/映射,,
手机APP远程功能,,
慢充时间(小时)_y,6.5,6.5
慢充时间(小时)_x,6.5,6.5
感应雨刷功能,,
感应后备厢,●,●
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,0.33,0.33
快充时间(小时)_x,0.33,0.33
快充功能,支持,支持
快充功率(kW),90,90
座椅材质,,
座椅布局,,
座位数(个),6,7
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电,●,●
宽度(mm),1950,1950
官方0-100km/h加速(s),4.3,4.3
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
