Feature,67581,67880,69560,69561,69562,70024,70025
高度(mm),1480,1480,1500,1480,1500,1480,1480
高压快充,支持,-,-,-,支持,-,-
高压平台（V）,800,-,-,-,800,-,-
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,三电机,三电机,三电机,三电机,三电机,三电机,三电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●
零重力座椅,,,,,,,
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●
长度(mm),5180,5195,5195,5195,5180,5195,5195
长*宽*高(mm),5180 *1990 *1480,5195*1990*1480,5195*1990*1500,5195*1990*1480,5180*1990*1500,5195*1990*1480,5195*1990*1480
钥匙类型,,,,,,,
配气机构,-,DOHC,DOHC,DOHC,-,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,-,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶芯片,,,,,,,
辅助驾驶系统,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),3125,3125,3125,3125,3125,3125,3125
轮圈材质,,,,,,,
转向辅助灯,●,●,●,●,●,●,●
转向头灯,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车载冰箱,●,●,●,●,●,●,●
车载KTV,●,●,●,●,●,●,●
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
车型名称,腾势Z9GT 2024款 630四驱Max版,腾势Z9GT 2024款 1100四驱Ultra版,腾势Z9GT 2024款 1100四驱Pro版,腾势Z9GT 2024款 1100四驱Max版,腾势Z9GT 2024款 630四驱Pro版,腾势Z9GT 2024款 1100四驱Max首发版,腾势Z9GT 2024款 1100四驱Ultra首发版
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,
车内摄像头数量,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
记忆泊车,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驾驶辅助路段,,,,,,,
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●
自动开合车门,○,●,○,○,○,○,●
自动头灯,●,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●,●
膝部气囊,,,,,,,
能量回收系统,●,●,●,●,●,●,●
能源类型_y,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,插电式混合动力
能源类型_x,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,
缸盖材料,-,铝合金,铝合金,铝合金,-,铝合金,铝合金
缸体材料,-,铝合金,铝合金,铝合金,-,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
系统综合扭矩(N·m),-,935,935,935,-,935,935
简称,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,
空调温度控制方式,,,,,,,
空气质量监测,●,●,●,●,●,●,●
空气悬架,●,●,-,●,-,●,●
