Feature,65534,65535,65536,65537,65538,65539
高度(mm),1767,1767,1767,1767,1767,1767
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),5127,5127,5127,5127,5127,5127
长*宽*高(mm),5127*2005*1767,5127*2005*1767,5127*2005*1767,5127*2005*1767,5127*2005*1767,5127*2005*1767
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,●,●
远程启动功能,-,-,-,-,-,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
辅助驾驶系统,-,-,-,-,,
辅助驾驶等级,-,-,-,-,,
轴距(mm),2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,
转向头灯,-,-,-,-,●,●
车顶行李架,-,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,●,●
车道偏离预警系统,-,-,●,●,●,●
车道保持辅助系统,-,-,-,-,●,●
车载空气净化器,-,-,-,-,-,●
车载KTV,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,英菲尼迪QX60 2024款 2.0T 典雅版,英菲尼迪QX60 2024款 2.0T 悦享版,英菲尼迪QX60 2024款 2.0T 四驱卓越版,英菲尼迪QX60 2024款 2.0T 四驱豪华版,英菲尼迪QX60 2024款 2.0T 四驱尊享版,英菲尼迪QX60 2024款 2.0T 四驱旗舰版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,●
语音识别控制系统,,,,,,
语音分区域唤醒识别,,,,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,●,●
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,-,-,-,●,●,●
第二排座椅调节,,,,,,
第二排座椅功能,-,-,-,,,
第三排座椅调节,,,,,,
第三排座椅电动调节,-,-,-,-,-,●
空调温度控制方式,,,,,,
移动物体预警系统,-,-,-,-,●,●
离去角(°),15,15,15,16,16,16
疲劳驾驶提示,-,-,●,●,●,●
电动座椅记忆功能,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190
最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,5.8
最大马力(Ps),252,252,252,252,252,252
最大满载质量(kg),2655,2655,2745,2745,2745,2745
最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400
最大扭矩(N·m)_y,376,376,376,376,376,376
最大扭矩(N·m)_x,376,376,376,376,376,376
最大功率转速(rpm),5600,5600,5600,5600,5600,5600
最大功率(kW)_y,185,185,185,185,185,185
最大功率(kW)_x,185,185,185,185,185,185
最大净功率(kW),185,185,185,185,185,185
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,●
方向盘材质,,,,,,
方向盘换挡,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,●
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),2075,2083,2160,2150,2150,2171
推荐燃油标号,95号,95号,95号,95号,95号,95号
接近角(°),16,16,16,16,16,16
排量(mL),1997,1997,1997,1997,1997,1997
换挡形式,,,,,,
挡位个数,9,9,9,9,9,9
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,,,
手机无线充电功能,-,-,-,-,-,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
感应雨刷功能,,,,,,
感应后备厢,-,-,-,-,-,●
座椅材质,,,,,,
座椅布局,,,,,,
座位数(个),,,,,,
并线辅助,-,-,●,●,●,●
巡航系统,,,,,,
