Feature,58512,58980,59786,59787,59788,59789,59790,59791,59792,59793,59794,72412,72413,72414,72415,72416,72417,72418,72419,72420,72421,72422,72423,72424,72425,72426,72427,72428
高度(mm),1680,1680,1678,1680,1678,1680,1678,1680,1678,1680,1680,1678,1678,1678,1680,1678,1678,1678,1680,1680,1678,1678,1678,1680,1680,1678,1680,1680
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,-,单电机,-,-,-,-,单电机,单电机,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670
长*宽*高(mm),4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1678,4670*1865*1678,4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,-,-,●,●,●,-,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
轴距(mm),2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,-,●,-,●,-,●,-,●,●,-,-,-,●,-,-,-,●,●,-,-,-,●,●,-,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,-,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,狮铂拓界 2023款 2.0T 四驱旗舰版,狮铂拓界 2023款 2.0L HEV 两驱旗舰版,狮铂拓界 2023款 1.5T 两驱豪华版,狮铂拓界 2023款 1.5T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱豪华版,狮铂拓界 2023款 2.0T 两驱尊贵版,狮铂拓界 2023款 2.0L HEV 两驱豪华版,狮铂拓界 2023款 2.0L HEV 两驱尊贵版,狮铂拓界 2023款 2.0T 四驱豪华版,狮铂拓界 2023款 2.0T 四驱尊贵版,狮铂拓界 2023款 2.0T 两驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,
语音识别控制系统,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
语音助手唤醒词,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
语音分区域唤醒识别,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
