Feature,60645,60671,64240,64241,64242,64243,64244,64245,64247,64248,64251,68230,69588,69589,69946,69947,69948,69950,70022,70023
高度(mm),1970,1970,1969,1969,1969,1967,1967,1967,1967,1967,1970,1970,1969,1969,1967,1967,1967,1967,1970,1970
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,
防侧翻系统,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
长度(mm),5358,5358,4583,4583,4583,5018,5018,5018,5018,5018,5358,5358,4583,4583,5018,5018,5018,5018,5358,5358
长*宽*高(mm),5358*2008*1970,5358*2008*1970,4583*2105*1969,4583*2105*1969,4583*2105*1969,5018*2105*1967,5018*2105*1967,5018*2105*1967,5018*2105*1967,5018*2105*1967,5358*2008*1970,5358*2105*1970,4583*2105*1969,4583*2105*1969,5018*2105*1967,5018*2105*1967,5018*2105*1967,5018*2105*1967,5358*2105*1970,5358*2105*1970
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压,涡轮增压+电动增压,机械增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,机械增压,机械增压,涡轮增压+电动增压,涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-
轴距(mm),3022,3022,2587,2587,2587,3022,3022,3022,3022,3022,3022,3022,2587,2587,3022,3022,3022,3022,3022,3022
轮圈材质,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,○,○,●
车顶行李架,●,●,○,○,-,●,●,●,●,-,-,●,○,○,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,,,,
车载冰箱,●,●,○,○,●,●,●,●,●,●,●,●,○,●,●,●,●,○,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门8座SUV,5门8座SUV,3门5座SUV,3门5座SUV,3门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门8座SUV,5门5座SUV,3门5座SUV,3门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,
车库门遥控装置,○,○,○,○,●,-,○,○,○,●,●,-,-,-,-,-,-,-,-,-
车型名称,路虎卫士 2023款 130 3.0T P400 X,路虎卫士 2023款 130 3.0T P400 HSE,路虎卫士 2024款 90 2.0T P300 S,路虎卫士 2024款 90 3.0T P400 HSE,路虎卫士 2024款 90 5.0T V8,路虎卫士 2024款 110 3.0T P400 XS,路虎卫士 2024款 110 3.0T P400 X-DYNAMIC HSE,路虎卫士 2024款 110 3.0T P400 暗黑特别版,路虎卫士 2024款 110 3.0T P400 X,路虎卫士 2024款 110 5.0T V8,路虎卫士 2024款 130 5.0T V8,路虎卫士 2025款 130 3.0T P400 远征特别版,路虎卫士 2025款 90 2.0T P300 S,路虎卫士 2025款 90 3.0T P400 X-Dynamic HSE,路虎卫士 2025款 110 3.0T P400 -Dynamic HSE,路虎卫士 2025款 110 3.0T P400 暗黑特别版,路虎卫士 2025款 110 3.0T P400 X,路虎卫士 2025款 110 3.0T P400 X-Dynamic SE,路虎卫士 2025款 130 3.0T P400 X-Dynamic SE,路虎卫士 2025款 130 3.0T P400 X-Dynamic HSE
车前雾灯,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,,,,,-,,,,,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
行程(mm),92.29,92.29,-,92.29,-,92.29,92.29,92.29,92.29,-,-,92.29,-,92.29,92.29,92.29,92.29,92.29,92.29,92.29
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,○,○,●,●,○,●,●,●,●,●,●,○,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
能源类型_x,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),83,83,-,83,-,83,83,83,83,-,-,83,-,83,83,83,83,83,83,83
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),22,22,30.7,30.7,30.7,27.8,27.8,27.8,27.8,27.9,27.8,27.9,30.7,30.7,27.9,27.9,27.9,27.9,27.9,27.9
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,,
第二排座椅功能,,,,,,-,,,,,,,,,,,,,,
