Feature,1013937,1013938,1013939,1013940,1013941,1013942,1013943,1013944,1013945,1013946,1013947,1013948,1013949,1013950,1013951,1013952,1015423,1015424,1015540,1015541,1015542,1015543,1015544,1015545,1015546,1015547,1015548,1015549,1015550,1015551,1015552,1015553,1015554,1015555,1016202,1016203,1016204,1016205,1016206,1016207,1016208,1016209,1016210,1016211,1017508,1018456,1018457,1018889,1019339,1019541,1019616
高度(mm),1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,1985,1985,1985,1985,1985,1985,1985
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,-,-,,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4540,4540,4540,4540,4540,4540,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4540,4540,4540,4540,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,5305,5305,4845,4845,4845,4845
长*宽*高(mm),4540×1730×1985,4540×1730×1985,4540×1730×1985,4540×1730×1985,4540×1730×1985,4540×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4845×1730×1985,4540×1730×1985,4540×1730×1985,4540×1730×1985,4540×1730×1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*2185,4845*1730*1985,5305*1745*1985,5305*1745*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985,4845*1730*1985
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,-,-
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,,-
进气形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,,-
轴距(mm),2920,2920,2920,2920,2920,2920,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2920,2920,2920,2920,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3360,3360,3100,3100,3100,3100
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,,-
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,-,-,平开门,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
