Feature,1013205,1013206,1013207,1016515,1016516,1016517
高度(mm),2285,2285,2285,2285,2285,2285
驾驶辅助影像,,,,-,,
驾驶模式切换,-,-,-,-,-,-
驻车制动类型,-,-,-,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),5998,5998,5998,5470,5470,5470
长*宽*高(mm),5998×1885×2285,5998×1885×2285,5998×1885×2285,5470*1885*2285,5470*1885*2285,5470*1885*2285
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,-,-,-
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,
轴距(mm),3720,3720,3720,3110,3110,3110
轮圈材质,,,,,,
转向辅助灯,-,-,-,●,●,●
转向头灯,-,-,-,●,●,●
车门数(个),,,,,,
车门开启方式,-,-,-,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-
车型名称,凯歌 2022款 2.8T 凯歌L营运版 SC28R,凯歌 2022款 2.8T 凯歌L SC28R,凯歌 2022款 2.7L 凯歌L 3TZ,凯歌 2023款 2.5L 凯歌14座精英型,凯歌 2023款 2.5L 凯歌14座豪华型,凯歌 2023款 2.5L 凯歌14座商务型
车前雾灯,,,,-,,
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,,,
蓝牙/车载电话,-,-,-,-,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
能源类型_y,柴油,柴油,汽油,汽油,汽油,汽油
能源类型_x,柴油,柴油,汽油,汽油,汽油,汽油
胎压监测功能,,,,-,-,-
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
疲劳驾驶提示,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国IV,国VI,国VI,国VI
环保标准_x,国VI,国VI,国IV,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,0号,0号,92号,92号,92号,92号
满载最小离地间隙(mm),-,-,-,155,155,155
温度分区控制,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-
油箱容积(L),70,70,70,65,65,65
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-
最小离地间隙(mm),160,160,167,-,-,-
最大马力(Ps),150,150,163,163,163,163
最大满载质量(kg),-,-,-,-,-,-
最大扭矩转速(rpm),1300-2600,1300-2600,2600-3200,4000,4000,4000
最大扭矩(N·m)_y,350,350,260,212,212,212
最大扭矩(N·m)_x,350,350,260,212,212,212
最大功率转速(rpm),3000,3000,4600-5000,5600,5600,5600
最大功率(kW)_y,110,110,120,120,120,120
最大功率(kW)_x,110,110,120,120,120,120
最大净功率(kW),-,-,-,112,112,112
