Feature,1017588,1017589
高度(mm),2195,2195
驾驶辅助影像,-,-
驾驶模式切换,-,-
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),5455,5455
长*宽*高(mm),5455*1705*2195,5455*1705*2195
钥匙类型,,
远光灯光源,,
近光灯光源,,
轴距(mm),3110,3110
轮圈材质,,
转向辅助灯,●,●
车门数(个),,
车门开启方式,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,货车,货车
车身结构_x,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,龙耀8S 2023款 龙耀8S纯电动厢货41.86kWh,龙耀8S 2023款 龙耀8S纯电动厢货53.58kWh
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
货箱尺寸(mm),3400x1510x1510,3400x1510x1510
语音识别控制系统,-,-
行车电脑显示屏幕,,
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,-
级别,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,,
疲劳驾驶提示,-,-
电芯品牌,,
电池能量(kWh),41.86,53.58
电池类型,,
电池快充电量范围(%)_y,20-100,20-100
电池快充电量范围(%)_x,20-100,20-100
电池快充时间(小时)_y,1.5,1.5
电池快充时间(小时)_x,1.5,1.5
电池冷却方式,风冷,风冷
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总马力(Ps),109,109
电动机总扭矩(N·m),270,270
电动机总功率(kW),80,80
电动机(Ps),109,109
电动座椅记忆功能,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
液晶仪表尺寸,-,-
最高车速(km/h),-,-
最小离地间隙(mm),140,140
最大载重质量(kg),1510,1455
最大满载质量(kg),-,-
最大扭矩(N·m),270,270
最大功率(kW),80,80
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,,
整备质量(kg),1855,1910
换电,不支持,不支持
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
感应雨刷功能,-,-
座椅材质,,
座位数(个),,
并线辅助,-,-
巡航系统,-,-
导航路况信息显示,-,-
宽度(mm),1705,1705
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,-,-
大灯延时关闭,-,-
多媒体/充电接口,,
多功能方向盘,-,-
外后视镜功能,,
备胎规格,-,-
后雨刷,-,-
后轮距(mm),1465,1465
后轮胎规格,,
后电动机最大扭矩(N·m),270,270
后电动机最大功率(kW),80,80
后排车门开启方式,,
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,,
后座出风口,-,-
后备厢容积(L),-,-
后制动器类型,,
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),27.68万,29.88万
厂商,厦门金龙,厦门金龙
卫星导航系统,-,-
助力类型,,
副座椅调节方式,-,-
前轮距(mm),1470,1470
前轮胎规格,,
前排座椅功能,-,-
前悬架类型,,
前制动器类型,,
前/后驻车雷达,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
内后视镜功能,-,-
全液晶仪表盘,-,-
侧滑门形式,,
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
中控屏幕尺寸,-,-
上市时间,2024.01,2024.01
上坡辅助,-,-
USB/Type-C接口数量,-,-
OTA升级,-,-
NEDC纯电续航里程(km)_y,215,215
NEDC纯电续航里程(km)_x,215,215
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
