Feature,1019781,1019782
高度(mm),1990,1990
驾驶辅助影像,,
驾驶模式切换,-,-
驻车制动类型,,
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,●,●
限滑差速器/差速锁,,
长度(mm),5435,5435
长*宽*高(mm),5435*1935*1990,5435*1935*1990
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,○
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
轴距(mm),3270,3270
轮圈材质,,
转向辅助灯,●,●
转向头灯,●,●
车顶行李架,●,●
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,皮卡,皮卡
车身结构_x,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,○
车窗防夹手功能,●,-
车窗一键升降功能,,-
车机智能芯片,,
车型名称,大道 沐光 2025款 2.3T柴油自动四驱沐光越野版,大道 沐光 2025款 2.3T柴油自动四驱沐光商业版
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,非承载式,非承载式
超声波雷达数量,,
货箱尺寸(mm),1546x1595x546,1546x1595x546
语音识别控制系统,,
触摸式阅读灯,●,●
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动头灯,●,○
能源类型_y,柴油,柴油
能源类型_x,柴油,柴油
胎压监测功能,,
缸盖材料,-,-
缸体材料,-,-
级别,皮卡,皮卡
简称,8挡手自一体,8挡手自一体
第二排座椅调节,-,-
空载最小离地间隙(mm),235,235
空调温度控制方式,,
离去角(°),26,26
疲劳驾驶提示,-,-
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,0号,0号
满载最小离地间隙(mm),216,216
温度分区控制,-,-
液晶仪表尺寸,-,-
油箱容积(L),80,80
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),175,175
最小转弯半径(m),6,6
最大马力(Ps),177,177
最大载重质量(kg),495,495
最大满载质量(kg),3020,2935
最大扭矩转速(rpm),1500-2400,1500-2400
最大扭矩(N·m)_y,450,450
最大扭矩(N·m)_x,450,450
最大功率转速(rpm),3200,3200
最大功率(kW)_y,130,130
最大功率(kW)_x,130,130
最大净功率(kW),128,128
无钥匙进入功能,,
无钥匙启动系统,●,●
旋转大屏,●,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,●,●
方向盘加热,○,○
方向盘位置调节,,
整车质保,,
整备质量(kg),2200,2115
摄像头数量,,
接近角(°),30,30
排量(mL),2296,2296
换挡形式,,
挡位个数,8,8
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,,
手机APP远程功能,,
感应雨刷功能,,-
座椅材质,,
座位数(个),,
并线辅助,-,-
巡航系统,,
导航路况信息显示,●,○
宽度(mm),1935,1935
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,,
地图品牌,,
四驱形式,,
后雨刷,-,-
后轮距(mm),1620,1620
后轮胎规格,,
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,,
后悬架类型,,
后座出风口,●,●
后备厢容积(L),-,-
后制动器类型,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体
发动机电子防盗,●,●
发动机布局,纵置,纵置
发动机型号,JX4D23A6L,JX4D23A6L
发动机,2.3T 177马力 L4,2.3T 177马力 L4
厂商指导价(元),25.56万,24.36万
厂商,钧天机械,钧天机械
卫星导航系统,●,○
助力类型,,
副座椅调节方式,,
前轮距(mm),1620,1620
前轮胎规格,,
前排座椅功能,,
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),2560,2560
内后视镜功能,,
全液晶仪表盘,-,-
供油方式,直喷,直喷
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
上市时间,2024.12,2024.12
上坡辅助,●,●
Wi-Fi热点,●,○
USB/Type-C接口数量,,
OTA升级,●,○
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
ABS防抱死,●,●
4G/5G网络,,
