Feature,1008122,1008123,1008124,1008125,1008126,1008127,1008128,1008129,1008148,1008149,1008150,1008151,1008152,1008153,1008154,1008155,1008156,1008157,1008158,1008159,1008160,1008161,1008162,1008163,1009229,1009230,1009231,1009232
高度(mm),1950,1950,1890,1890,1950,1950,1890,1890,1950,1950,1950,1950,1890,1890,1890,1890,1950,1950,1950,1950,1890,1890,1890,1890,1975,1890,1975,1890
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5020,5020,5280,5280,5020,5020,5280,5280,5020,5020,5020,5020,5280,5280,5280,5280,5020,5020,5020,5020,5280,5280,5280,5280,5005,5275,5005,5275
长*宽*高(mm),5020×1680×1950,5020×1600×1950,5280×1600×1890,5280×1680×1890,5020×1680×1950,5020×1600×1950,5280×1600×1890,5280×1680×1890,5020×1680×1950,5020×1680×1950,5020×1600×1950,5020×1600×1950,5280×1600×1890,5280×1600×1890,5280×1680×1890,5280×1680×1890,5020×1680×1950,5020×1680×1950,5020×1600×1950,5020×1600×1950,5280×1600×1890,5280×1600×1890,5280×1680×1890,5280×1680×1890,5005×1680×1975,5275×1680×1890,5005×1680×1975,5275×1680×1890
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,4,4,2,2,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,4,2,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安星卡L1 2019款 1.5L货车标准型加宽单排额载955kg,长安星卡L1 2019款 1.5L货车标准型单排额载1355kg,长安星卡L1 2019款 1.5L货车标准型双排额载975kg,长安星卡L1 2019款 1.5L货车标准型加宽双排额载975kg,长安星卡L1 2019款 1.5L货车基本型加宽单排额载955kg,长安星卡L1 2019款 1.5L货车基本型单排额载1355kg,长安星卡L1 2019款 1.5L货车基本型双排额载975kg,长安星卡L1 2019款 1.5L货车基本型加宽双排额载975kg,长安星卡L1 2019款 1.5L货车标准型加宽单排额载705kg,长安星卡L1 2019款 1.5L货车标准型加宽单排额载1355kg,长安星卡L1 2019款 1.5L货车标准型单排额载705kg,长安星卡L1 2019款 1.5L货车标准型单排额载955kg,长安星卡L1 2019款 1.5L货车标准型双排额载725kg,长安星卡L1 2019款 1.5L货车标准型双排额载495kg,长安星卡L1 2019款 1.5L货车标准型加宽双排额载725kg,长安星卡L1 2019款 1.5L货车标准型加宽双排额载495kg,长安星卡L1 2019款 1.5L货车基本型加宽单排额载705kg,长安星卡L1 2019款 1.5L货车基本型加宽单排额载1355kg,长安星卡L1 2019款 1.5L货车基本型单排额载705kg,长安星卡L1 2019款 1.5L货车基本型单排额载955kg,长安星卡L1 2019款 1.5L货车基本型双排额载725kg,长安星卡L1 2019款 1.5L货车基本型双排额载495kg,长安星卡L1 2019款 1.5L货车基本型加宽双排额载725kg,长安星卡L1 2019款 1.5L货车基本型加宽双排额载495kg,长安星卡L1 2019款 1.5L货车标准型加宽单排国VI,长安星卡L1 2019款 1.5L货车标准型加宽双排国VI,长安星卡L1 2019款 1.5L货车基本型加宽单排国VI,长安星卡L1 2019款 1.5L货车基本型加宽双排国VI
车内中控锁,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3170x1610x370,3170x1520x370,2660x1520x370,2660x1610x370,3170x1610x370,3170x1520x370,2660x1520x370,2660x1610x370,3170x1610x370,3170x1610x370,3170x1520x370,3170x1520x370,2660x1520x370,2660x1520x370,2660x1610x370,2660x1610x370,3170x1610x370,3170x1610x370,3170x1520x370,3170x1520x370,2660x1520x370,2660x1520x370,2660x1610x370,2660x1610x370,3170x1610x370,2660x1610x370,3170x1610x370,2660x1610x370
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
