Feature,1007426,1007427,1007428,1007429,1007430,1007431,1007432,1007433,1007434,1007435,1007436,1007437,1007438,1008050,1008051,1008052,1008053,1008054,1008055,1008056,1008057,1008058
高度(mm),1890,2450,2415,1890,1890,1890,1890,2450,2415,1890,1890,1890,1890,1890,1910,2435,2475,1890,1910,2465,1910,1890
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4860,4915,4860,4560,4860,4560,4860,4915,4860,5160,4860,4860,4660,5160,4860,4860,4915,4860,4860,4915,4860,4860
长*宽*高(mm),4860×1600×1890,4915×1600×2450,4860×1600×2415,4560×1600×1890,4860×1600×1890,4560×1600×1890,4860×1600×1890,4915×1600×2450,4860×1600×2415,5160×1600×1890,4860×1600×1890,4860×1600×1890,4660×1600×1890,5160×1600×1890,4860×1600×1910,4860×1600×2435,4915×1630×2475,4860×1600×1890,4860×1600×1910,4915×1600×2465,4860×1600×1910,4860×1600×1890
铝合金轮圈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
