Feature,63672,63673,63674,63675,63676,67248,67543,68374
高度(mm),1438,1438,1438,1433,1433,1438,1438,1433
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,,,,,-,,
长度(mm),4643,4643,4643,4639,4639,4643,4643,4639
长*宽*高(mm),4643*1860*1438,4643*1860*1438,4643*1860*1438,4639*1874*1433,4639*1874*1433,4643*1860*1438,4643*1860*1438,4639*1874*1433
钥匙类型,,,,,,,,
配气机构,SOHC,SOHC,SOHC,DOHC,DOHC,SOHC,SOHC,DOHC
道路救援呼叫,○,○,○,●,●,-,●,●
道路交通标识识别,○,○,○,●,●,-,●,●
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,双涡轮增压,涡轮增压,涡轮增压,双涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●
辅助驾驶等级,,,,,,-,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,-,-,-,平开门,-,-,-,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,○,○,○,●,●,-,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,○,○,○,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,Giulia朱丽叶 2023款 2.0T 280HP 纵擎版,Giulia朱丽叶 2023款 2.0T 280HP 赛道版,Giulia朱丽叶 2023款 2.0T 280HP 竞赛版,Giulia朱丽叶 2023款 2.9T V6 520HP 四叶草版,Giulia朱丽叶 2023款 2.9T V6 520HP 四叶草100周年纪念版,Giulia朱丽叶 2024款 2.0T 280HP Dragon Edition 龙曜限定版,Giulia朱丽叶 2024款 2.0T 280HP Tributo Italiano 致敬传奇版,Giulia朱丽叶 2024款 2.9T V6 520HP 四叶草Super Sport黑标限量版
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音识别控制系统,,,,,,,,
语音分区域唤醒识别,,,,,,,,
行车电脑显示屏幕,,,,,,,,
行程(mm),-,-,-,82,82,-,-,82
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驾驶辅助路段,,,,,,-,,
自动驻车,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缺气保用轮胎,-,●,●,-,-,●,●,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,86.5,86.5,-,-,86.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
疲劳驾驶提示,○,○,○,●,●,-,●,●
电动座椅记忆功能,,,,,,,,
电动后备厢,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
灯光特色功能,,,,,,,,
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),58,58,58,58,58,58,58,58
气缸数(个),4,4,4,6,6,4,4,6
气缸排列形式,L,L,L,V,V,L,L,V
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),250,250,250,308,308,250,250,308
最大马力(Ps),280,280,280,520,520,280,280,520
最大满载质量(kg),2175,2175,2175,-,-,2175,2175,-
最大扭矩转速(rpm),2250,2250,2250,2500,2500,2250,2250,2500
最大扭矩(N·m)_y,400,400,400,600,600,400,400,600
最大扭矩(N·m)_x,400,400,400,600,600,400,400,600
最大功率转速(rpm),5250,5250,5250,6500,6500,5250,5250,6500
最大功率(kW)_y,206,206,206,382,382,206,206,382
最大功率(kW)_x,206,206,206,382,382,206,206,382
最大净功率(kW),206,206,206,-,-,206,206,-
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●
方向盘加热,●,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),1650,1650,1650,1730,1730,1650,1650,1730
摄像头数量,,,,,,,,
排量(mL),1995,1995,1995,2891,2891,1995,1995,2891
换挡形式,,,,,,,,
挡位个数,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,,
扬声器品牌名称,-,,,,,-,,
手机无线充电功能,,,,,,,,
手机互联/映射,,,,,,,,
手机APP远程功能,,,,,,-,,
感应雨刷功能,,,,,,,,
座椅材质,,,,,,,,
座位数(个),,,,,,,,
并线辅助,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-
宽度(mm),1860,1860,1860,1874,1874,1860,1860,1874
官方0-100km/h加速(s),5.2,5.2,5.2,3.9,3.9,5.2,5.2,3.9
安全带未系提醒,,,,,,,,
天窗类型,,,,-,-,,,-
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外观套件,,,,-,-,,,-
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,
后排侧隐私玻璃,○,○,●,●,●,●,●,●
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),480,480,480,480,480,480,480,480
后制动器类型,,,,,,,,
可变转向比,●,●,●,●,●,●,●,●
可变悬架功能,-,-,,,,-,,
可加热喷水嘴,●,●,●,●,●,●,●,●
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●
发动机特有技术,MultiAir,MultiAir,MultiAir,-,-,MultiAir,MultiAir,-
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,55273835,55273835,55273835,-,-,55273835,55273835,-
发动机启停技术,●,●,●,●,●,●,●,●
发动机,2.0T 280马力 L4,2.0T 280马力 L4,2.0T 280马力 L4,2.9T 520马力 V6,2.9T 520马力 V6,2.0T 280马力 L4,2.0T 280马力 L4,2.9T 520马力 V6
压缩比,10,10,10,9.3,9.3,10,10,9.3
厂商指导价(元),31.30万,35.30万,38.30万,89.98万,96.18万,33.60万,39.70万,96.18万
厂商,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧,阿尔法·罗密欧
卫星导航系统,●,●,●,●,●,●,●,●
助力类型,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,
前方碰撞预警,●,●,●,●,●,●,●,●
前方感知摄像头,,,,,,,,
前排座椅功能,,,,,,,,
