Feature,63551,63552,63746,63747
高度(mm),1726,1726,1717,1722
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动方式,,,,
首任车主质保政策,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,●,●,-,-
长度(mm),5011,5011,5011,5011
长*宽*高(mm),5011*1953*1726,5011*1953*1726,5011*1953*1717,5011*1953*1722
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
运动风格座椅,●,●,-,●
辅助驾驶等级,,,-,-
轴距(mm),2863,2863,2863,2863
轮圈材质,,,,
车顶行李架,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,-,●
车道保持辅助系统,●,●,-,●
车载空气净化器,●,●,-,●
车载智能系统,,,,
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,开拓者 2023款 轻混 650T RS Twin-Clutch四驱 白夜版,开拓者 2023款 轻混 650T RS Twin-Clutch四驱 擎版,开拓者 2023款 轻混 650T 型版,开拓者 2023款 轻混 650T Redline 霆版
车前雾灯,-,-,-,-
车内环境氛围灯,,,-,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
负离子发生器,●,●,-,●
语音识别控制系统,,,,
语音免唤醒词,●,●,●,●
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,-,●
自动驻车,●,●,●,●
自动泊车入位,●,●,-,-
自动头灯,●,●,●,●
能源类型_y,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
能源类型_x,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,,,,
第二排座椅功能,,,-,-
空调温度控制方式,,,,
离去角(°),18,18,18,18
疲劳驾驶提示,-,-,-,-
电动座椅记忆功能,,,-,-
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),82,82,73,73
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),210,210,210,210
最小转弯半径(m),5.8,5.8,5.8,5.8
最大马力(Ps),237,237,237,237
最大满载质量(kg),2635,2635,2490,2520
最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350
最大功率转速(rpm),5000,5000,5000,5000
最大功率(kW)_y,174,174,174,174
最大功率(kW)_x,174,174,174,174
最大净功率(kW),169,169,169,169
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,●,●,-,●
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),2035,2035,1895,1925
接近角(°),15,15,14,14
排量(mL),1998,1998,1998,1998
换挡形式,,,,
挡位个数,9,9,9,9
扬声器数量,,,,
扬声器品牌名称,,,-,-
手机无线充电功能,,,-,
手机互联/映射,,,,
手机APP远程功能,,,,
感应雨刷功能,,,-,
感应后备厢,●,●,-,-
座椅材质,,,,
座椅布局,,,,
座位数(个),,,,
并线辅助,●,●,-,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
宽度(mm),1953,1953,1953,1953
官方0-100km/h加速(s),8.9,8.9,8.4,8.4
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外观套件,,,-,-
外后视镜功能,,,,
备胎规格,,,,
地图品牌,,,,
四驱形式,,,-,-
后雨刷,●,●,●,●
后轮距(mm),1673,1673,1683,1683
后轮胎规格,,,,
后排独立空调,●,●,●,●
后排杯架,●,●,●,●
后排座椅电动放倒,●,●,-,●
后排座椅放倒形式,,,,
后排侧隐私玻璃,●,●,●,●
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),222-1970,222-1970,222-1970,222-1970
后制动器类型,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●
发动机特有技术,智能变缸,智能变缸,智能变缸,智能变缸
发动机布局,横置,横置,横置,横置
发动机型号,LXH,LXH,LXH,LXH
发动机启停技术,●,●,●,●
发动机,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4
厂商指导价(元),26.69万,26.49万,19.49万,22.99万
厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
卫星导航系统,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,-,-,-,-
副座椅调节方式,,,,
前轮距(mm),1676,1676,1687,1687
前轮胎规格,,,,
前方碰撞预警,●,●,-,●
前排座椅功能,,,-,
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内置行车记录仪,●,●,-,-
内后视镜功能,,,,
全液晶仪表盘,-,-,-,-
倒车车侧预警系统,●,●,-,●
供油方式,直喷,直喷,直喷,直喷
主座椅调节方式,,,,
主动降噪,●,●,●,●
主动闭合式进气格栅,●,●,●,●
主动刹车/主动安全系统,●,●,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
中央差速器结构,,,-,-
上市时间,2023.07,2023.07,2023.07,2023.07
上坡辅助,●,●,●,●
Wi-Fi热点,●,●,●,●
WLTC综合油耗(L/100km),8.14,8.14,7.47,7.54
USB/Type-C接口数量,,,,
OTA升级,●,●,●,●
NEDC综合油耗(L/100km),7.7,7.7,7.1,7.2
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ABS防抱死,●,●,●,●
4G/5G网络,,,,
220V/230V电源,●,●,-,-
