Feature,56672,59238,59588,59589,59590,62552,63667
高度(mm),1572,1564,1564,1572,1572,1564,1564
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,动力总成核心部件原厂质保服务 （8年或16万公里）,-,动力总成核心部件原厂质保服务 （8年或16万公里）,动力总成核心部件原厂质保服务 （8年或16万公里）,动力总成核心部件原厂质保服务 （8年或16万公里）,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4537,4537,4537,4537,4537,4537,4537
长*宽*高(mm),4537*1823*1572,4537*1823*1564,4537*1823*1564,4537*1823*1572,4537*1823*1572,4537*1823*1564,4537*1823*1564
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动外观套件,●,-,-,-,●,●,●
轴距(mm),2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,
车顶行李架,●,-,-,●,●,○,○
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,星迈罗 2022款 1.5T CVT RS蜂芒版,星迈罗 2022款 1.5T CVT潮启版,星迈罗 2022款 1.5T CVT潮智版,星迈罗 2022款 1.5T CVT潮享版,星迈罗 2022款 1.5T CVT RS蜂潮版,星迈罗 2023款 1.5T CVT Redline 曜黑威蜂版,星迈罗 2023款 1.5T CVT Redline 专属定制版
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音连续识别,-,-,-,-,-,●,●
语音识别控制系统,,,,,,,
语音分区域唤醒识别,-,-,-,-,-,,
语音免唤醒词,-,-,-,-,-,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,○,○
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
离去角(°),22,22,22,22,22,22,22
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢位置记忆,●,-,●,●,●,○,○
电动后备厢,●,-,●,●,●,○,○
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,
油箱容积(L),50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),205,205,205,205,205,205,205
最大马力(Ps),184,184,184,184,184,184,184
最大满载质量(kg),1880,1880,1880,1880,1880,1880,1880
最大扭矩转速(rpm),1500-5000,1500-5000,1500-5000,1500-5000,1500-5000,1500-5000,1500-5000
最大扭矩(N·m)_y,250,250,250,250,250,250,250
最大扭矩(N·m)_x,250,250,250,250,250,250,250
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,135,135,135,135,135,135,135
最大功率(kW)_x,135,135,135,135,135,135,135
最大净功率(kW),132,132,132,132,132,132,132
无钥匙进入功能,,-,,,,,
无钥匙启动系统,●,-,●,●,●,○,○
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,●,-,●,●,●,○,○
方向盘位置调节,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1410,1410,1410,1410,1410,1410,1410
接近角(°),18,18,18,18,18,18,18
排量(mL),1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,,-,-,,,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
感应雨刷功能,,-,,,,,
座椅材质,,,,,,,
座位数(个),5,5,5,5,5,5,5
并线辅助,●,-,-,-,-,○,○
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),1823,1823,1823,1823,1823,1823,1823
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提醒,,,,,,,
天窗类型,,-,-,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,,,,,,
四驱形式,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●
后轮距(mm),1573,1573,1573,1573,1573,1573,1573
后轮胎规格,225/55 R18,225/60 R17,225/60 R17,225/60 R17,225/55 R18,225/55 R18,225/55 R18
后排独立空调,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,●,●,●,●,●,●,●
后备厢容积(L),414,414,414,414,414,417,417
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机型号,LP5,LP5,LP5,LP5,LP5,LP5,LP5
发动机启停技术,●,●,●,●,●,●,●
发动机,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4
厂商指导价(元),16.49万,13.99万,14.99万,15.49万,15.99万,14.19万,14.19万
厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
卫星导航系统,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,
前轮距(mm),1559,1559,1559,1559,1559,1559,1559
前轮胎规格,225/55 R18,225/60 R17,225/60 R17,225/60 R17,225/55 R18,225/55 R18,225/55 R18
前方碰撞预警,●,●,●,●,●,●,●
前排座椅功能,,-,,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
