Feature,66710,66711,66712,66713
高度(mm),1540,1540,1540,1540
驾驶辅助影像,-,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4495,4495,4495,4494
长*宽*高(mm),4495*1840*1540,4495*1840*1540,4495*1840*1540,4494*1840*1540
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●
道路交通标识识别,-,-,●,●
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
运动风格座椅,-,-,-,●
辅助驾驶系统,-,-,,
辅助驾驶等级,-,-,,
轴距(mm),2640,2640,2640,2640
轮圈材质,,,,
车顶行李架,-,-,-,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,●
车道偏离预警系统,-,-,●,●
车道保持辅助系统,-,-,●,●
车载空气净化器,-,-,●,●
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,雷克萨斯UX 2024款 300h 探寻版,雷克萨斯UX 2024款 300h 探酷版,雷克萨斯UX 2024款 300h 探趣版,雷克萨斯UX 2024款 300h F SPORT
车前雾灯,-,-,-,
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,,
负离子发生器,-,-,●,●
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
行程(mm),97.6,97.6,97.6,97.6
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,●,●
自动驻车,●,●,●,●
自动头灯,●,●,●,●
膝部气囊,,,,
