Feature,57655,58647,58649,61738,67587,67588,67589,67590
高度(mm),1689,1689,1689,1689,1689,1689,1689,1689
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,-,-,-,-,-,-,-
驱动方式,,,,,,,,
首任车主质保政策,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,●,●
陡坡缓降,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,●,●,●,●
长度(mm),4549,4549,4549,4549,4549,4549,4549,4549
长*宽*高(mm),4549*1860*1689,4549*1860*1689,4549*1860*1689,4549*1860*1689,4549*1860*1689,4549*1860*1689,4549*1860*1689,4549*1860*1689
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,-,●,-,-,-,●,●
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●
辅助驾驶系统,,,,,,,,
辅助驾驶等级,,,,,,,,
轴距(mm),2734,2734,2734,2734,2734,2734,2734,2734
轮圈材质,,,,,,,,
转向头灯,-,-,●,-,-,-,●,●
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车机系统存储(GB),-,-,-,-,,,,
车机系统内存(GB),-,-,-,-,,,,
车机智能芯片,,,,,,,,
车型名称,领克01 2023款 1.5TD EM-F 晨曦,领克01 2023款 2.0TD 两驱型Pro,领克01 2023款 2.0TD 四驱暗夜版,领克01 2023款 2.0TD 两驱亚运版,领克01 2024款 2.0TD 两驱全球版,领克01 2024款 2.0TD 两驱全球Pro,领克01 2024款 2.0TD 四驱劲Halo,领克01 2024款 2.0TD 四驱暗夜版
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,●,-,●,-,-,-,●,●
车内生物监测系统,●,-,●,-,-,-,●,●
车内环境氛围灯,,,,-,-,,,
车内摄像头数量,-,-,,-,-,-,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音识别控制系统,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,●,●,●,-,-,-,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,●,-,●,-,-,-,●,●
自动头灯,●,●,●,●,●,●,●,●
自动变道辅助,●,●,●,-,-,●,●,●
能量回收系统,●,-,-,-,-,-,-,-
能源类型_y,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),545,-,-,-,-,-,-,-
系统综合功率(kW),180,-,-,-,-,-,-,-
系统综合功率(Ps),245,-,-,-,-,-,-,-
简称,3挡DHT,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),213,213,213,213,213,213,213,213
空调温度控制方式,,,,,,,,
空气质量监测,-,-,-,-,-,●,●,●
离去角(°),23.5,23.5,24,23.5,23.5,23.5,24,24
疲劳驾驶提示,●,-,●,-,-,-,●,●
电芯品牌,,-,-,-,-,-,-,-
电池能量(kWh),1.82,-,-,-,-,-,-,-
电池类型,,-,-,-,-,-,-,-
电池冷却方式,液冷,-,-,-,-,-,-,-
电机类型,永磁/同步,-,-,-,-,-,-,-
电机布局,前置,-,-,-,-,-,-,-
电动机总马力(Ps),136,-,-,-,-,-,-,-
电动机总扭矩(N·m),320,-,-,-,-,-,-,-
电动机总功率(kW),100,-,-,-,-,-,-,-
电动机(Ps),136,-,-,-,-,-,-,-
电动座椅记忆功能,,,,-,-,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,95号,95号,95号,95号,95号,95号,95号
满载最小离地间隙(mm),166,166,166,166,166,166,166,166
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),54,54,54,54,54,54,54,54
气缸数(个),3,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),185,210,220,210,210,210,220,220
