Feature,60087,62499
高精地图,●,-
高度(mm),1805,1805
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,单电机
驱动方式,双电机四驱,前置前驱
首任车主质保政策,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
面部识别,●,-
隐藏电动门把手,●,●
陡坡缓降,●,●
长度(mm),5156,5156
长*宽*高(mm),5156*1980*1805,5156*1980*1805
钥匙类型,,
配气机构,DOHC,DOHC
遥控泊车,●,-
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,●,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶系统,,
辅助驾驶等级,,
轴距(mm),3050,3050
轮圈材质,,
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,蓝山DHT-PHEV 2023款 四驱超长续航版,蓝山DHT-PHEV 2023款 两驱长续航版
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车侧脚踏板,,
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音连续识别,●,●
语音识别控制系统,,
语音分区域唤醒识别,,
语音免唤醒词,●,●
触摸式阅读灯,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驾驶辅助路段,,-
自动驻车,●,●
自动泊车入位,●,-
自动头灯,●,●
自动变道辅助,●,-
能量回收系统,●,●
能源类型,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型SUV,中大型SUV
系统综合扭矩(N·m),933,523
系统综合功率(kW),380,243
系统综合功率(Ps),517,330
简称,2挡DHT,2挡DHT
第二排独立座椅,●,●
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
第三排座椅调节,,
第三排座椅功能,,
空调温度控制方式,,
离去角(°),22,22
百公里耗电量(kWh/100km),22.3,21
疲劳驾驶提示,●,-
电芯品牌,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),2.52,2.37
电池预加热,●,●
电池能量(kWh),42.5,35
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置
电动机总扭矩(N·m),710,300
电动机总功率(kW),350,130
电动机总功率(Ps),476,177
电动机(Ps),476,177
电动座椅记忆功能,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
燃料形式,插电式混合动力,插电式混合动力
满载最小离地间隙(mm),180,180
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),79,79
气缸数(个),4,4
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
最高车速(km/h),190,190
最大马力(Ps),154,154
最大满载质量(kg),3050,2865
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,223,223
最大扭矩(N·m)_x,933,523
最大功率转速(rpm),-,-
最大功率(kW)_y,113,113
最大功率(kW)_x,380,243
最大净功率(kW),110,110
最低荷电状态油耗(L/100km),6.7,6.2
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,五年或15万公里,五年或15万公里
整备质量(kg),2558,2395
摄像头数量,,
接近角(°),19,19
排量(mL),1499,1499
换挡形式,,
挡位个数,2,2
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,,
手机互联/映射,-,-
手机APP远程功能,,
手势控制,●,-
慢充时间(小时)_y,6.5,6.5
慢充时间(小时)_x,6.5,6.5
感应雨刷功能,,
感应后备厢,●,●
快充电量百分比,30-80,30-80
快充电量(%),30-80,30-80
快充时间(小时)_y,0.42,0.43
快充时间(小时)_x,0.42,0.43
快充功能,支持,支持
快充功率(kW),60,60
循迹倒车,●,-
座椅材质,,
座椅布局,,
座位数(个),6,6
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电,●,●
宽度(mm),1980,1980
官方0-100km/h加速(s),4.9,9.8
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多指飞屏操控,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,补胎工具,补胎工具
地图品牌,,
四驱形式,电动四驱,-
后雨刷,●,●
后轮距(mm),1702,1702
后轮胎规格,255/50 R20,255/50 R20
后电动机最大扭矩(N·m),410,-
后电动机最大功率(kW),220,-
后方碰撞预警,●,●
后排独立空调,●,●
后排杯架,●,●
后排座椅放倒形式,,
后排小桌板,●,○
后排侧隐私玻璃,●,●
后排侧窗遮阳帘,,
后悬架类型,五连杆独立悬架,五连杆独立悬架
后座出风口,●,●
后备厢容积(L),349-1150,349-1150
后制动器类型,通风盘式,通风盘式
可见即可说,●,●
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,2挡DHT,2挡DHT
发动机电子防盗,●,●
