Feature,60896,64653,65205
高度(mm),1900,1900,1890
驾驶辅助影像,,,
驾驶模式切换,,,-
驻车制动类型,,,
驱动电机数,双电机,双电机,双电机
驱动方式,,,-
首任车主质保政策,,,
风阻系数(Cd),-,-,-
面部识别,-,-,●
陡坡缓降,●,●,●
防侧翻系统,●,●,●
长度(mm),5045,5045,5405
长*宽*高(mm),5045*1960*1900,5045*1960*1900,5405*1960*1890
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
遥控泊车,-,●,●
道路交通标识识别,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),3085,3085,3275
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车载冰箱,-,●,●
车身结构_y,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,高山DHT-PHEV 2024款 四驱尊贵版,高山DHT-PHEV 2024款 四驱旗舰版,高山DHT-PHEV 2024款 四驱行政加长版
车前雾灯,-,-,-
车内香氛装置,-,-,●
车内环境氛围灯,-,,
车内摄像头数量,-,-,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
负离子发生器,●,●,●
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
语音免唤醒词,●,●,●
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,-,-,-
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,-,●,●
自动头灯,●,●,●
能量回收系统,●,●,-
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,中大型MPV,中大型MPV,中大型MPV
系统综合扭矩(N·m),762,762,644
系统综合功率(kW),358,358,337
系统综合功率(Ps),487,487,458
简称,2挡DHT,2挡DHT,-
第二排独立座椅,●,●,●
第二排座椅调节,,,
第二排座椅电动调节,●,●,●
第二排座椅功能,,,
第三排座椅调节,,,
第三排座椅电动调节,-,-,●
第三排座椅功能,-,-,
空载最小离地间隙(mm),155,155,155
空调温度控制方式,,,
空气质量监测,●,●,●
离去角(°),16,16,16
百公里耗电量(kWh/100km),23.4,23.4,-
疲劳驾驶提示,-,-,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),2.65,2.65,-
电池预加热,●,●,●
电池能量(kWh),37.96,37.96,44.28
电池类型,,,
电池慢充电量范围(%)_y,0-100,0-100,15-100
电池慢充电量范围(%)_x,0-100,0-100,15-100
电池慢充时间(小时)_y,6,6,6.5
电池慢充时间(小时)_x,6,6,6.5
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.43,0.43,0.43
电池快充时间(小时)_x,0.43,0.43,0.43
电池冷却方式,液冷,液冷,-
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),532,532,402
电动机总功率(kW),265,265,215
电动机总功率(Ps),360,360,292
电动机(Ps),360,360,292
电动座椅记忆功能,,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
温度分区控制,●,●,●
液晶仪表尺寸,-,-,-
油箱容积(L),58,58,58
气缸数(个),4,4,4
气缸排列形式,L,L,L
毫米波雷达数量,,,
每缸气门数(个),4,4,4
最高车速(km/h),170,170,200
最大马力(Ps),156,156,170
最大满载质量(kg),3255,3255,3275
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,235,235,245
最大扭矩(N·m)_x,762,762,644
最大功率转速(rpm),-,-,-
最大功率(kW)_y,115,115,125
最大功率(kW)_x,358,358,337
最大净功率(kW),112,112,122
最低荷电状态油耗(L/100km),7.2,7.2,7.2
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,●,●,●
方向盘位置调节,,,
整车质保,,,
整备质量(kg),2730,2730,2825
摄像头数量,,,
接近角(°),16,16,16
排量(mL),1499,1499,1499
换挡形式,,,
挡位个数,2,2,-
扬声器数量,,,
扬声器品牌名称,-,,
手机无线充电功能,,,
手机无线充电功率,,,
手机互联/映射,-,-,-
手机APP远程功能,,,
手势控制,-,-,●
慢充接口位置,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,
感应后备厢,-,●,●
快充接口位置,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,-
座椅材质,,,
座椅布局,,,
座位数(个),,,
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
对外放电,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3
宽度(mm),1960,1960,1960
官方0-100km/h加速(s),5.7,5.7,-
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多层隔音玻璃,,,
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
四驱形式,,,-
后雨刷,●,●,●
后轮距(mm),1707,1707,1707
后轮胎规格,,,
后电动机最大扭矩(N·m),232,232,232
后电动机最大功率(kW),135,135,135
后电动机型号,TZ180XS004,TZ180XS004,-
后方碰撞预警,●,●,●
后排独立空调,●,●,●
后排杯架,●,●,●
