Feature,1014521,1014522,1014523,1014524,1014525,1014526,1014527,1014528,1014529,1018568,1018599
高度(mm),1790,1805,1805,1805,1805,1805,1805,1805,1805,1805,1790
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5555,5570,5570,5570,5570,5570,5570,5570,5570,5570,5555
长*宽*高(mm),5555×1770×1790,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570*1770*1805,5555×1770×1790
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
轴距(mm),3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,黄海翔龙 2023款 2.4L汽油手动两驱超值型平底货箱4K22D4M,黄海翔龙 2023款 2.8T N1S柴油手动四驱超值型JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动四驱超值型平底货箱JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动四驱舒适型JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动四驱舒适型平底货箱JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动两驱舒适型JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动两驱舒适型平底货箱JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动两驱超值型JE493ZLQ6H,黄海翔龙 2023款 2.8T N1S柴油手动两驱超值型平底货箱JE493ZLQ6H,2024款 2.4L 翔龙S 汽油手动四驱超值型,2024款 2.4L汽油手动两驱超值型平底货箱4K22D4M
车前雾灯,-,-,-,,,,,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
