Feature,56536,56772,57349,57550,60573,61822
高度(mm),1636,1636,1636,1636,1636,1636
驾驶辅助影像,,,,-,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,双电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,双电机四驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-
面部识别,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●
长度(mm),4270,4270,4300,4270,4270,4270
长*宽*高(mm),4270*1822*1636,4270*1822*1636,4300*1822*1636,4270*1822*1636,4270*1822*1636,4270*1822*1636
钥匙类型,,,,,,
遥控泊车,●,-,●,-,●,-
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,●,-,-,-
辅助驾驶等级,,,,-,,
轴距(mm),2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,●
车道偏离预警系统,●,●,●,-,●,●
车道保持辅助系统,●,●,●,-,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,smart精灵#1 2022款 Premium版,smart精灵#1 2022款 Pro+版,smart精灵#1 2022款 BRABUS性能版,smart精灵#1 2022款 Pure+版,smart精灵#1 2022款 Pulse心动版,2023款 Pro版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,-,●,-,●,-
车内环境氛围灯,,,,-,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,-,-,-,-,-,-
语音识别控制系统,,,,,,
触摸式阅读灯,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,-,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,-,●,-,●,-
自动头灯,●,●,●,●,●,●
自动变道辅助,●,-,●,-,●,-
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-
第二排座椅调节,,,,-,,
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-
空载最小离地间隙(mm),182,181,182,181,182,181
空调温度控制方式,,,,,,
空气悬架,-,-,-,-,-,-
离去角(°),30.5,30.5,29.5,30.5,30.5,30.5
百公里耗电量(kWh/100km),13,13.4,14.8,13.4,13.4,-
疲劳驾驶提示,●,-,●,-,●,-
电芯品牌,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动,瑞浦能源
电能当量燃料消耗量(L/100km),1.47,1.52,1.67,1.52,1.52,-
电磁感应悬架,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),184.4,184.4,184.4,184.4,184.4,-
电池能量(kWh),66,66,66,66,66,49
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,前置+后置,后置,后置,后置
电动机总扭矩(N·m),343,343,543,343,343,343
电动机总功率(kW),200,200,315,200,200,200
