Feature,1010752,1010753,1010754,1010755,1010756,1010757,1010758,1010759,1010760,1010761,1010762,1010763
高度(mm),1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
驾驶辅助影像,,,,,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5330,5640,5330,5640,5330,5640,5330,5640,5330,5640,5330,5640
长*宽*高(mm),5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3095,3405,3095,3405,3095,3405,3095,3405,3095,3405,3095,3405
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
