,1000105
主/副驾驶座安全气囊,-
前/后排侧气囊,-
ABS防抱死,-
制动力分配(EBD/CBC等),-
刹车辅助(EBA/BAS/BA等),-
牵引力控制(ASR/TCS/TRC等),-
车身稳定控制(ESC/ESP/DSC等),-
前/后驻车雷达,-
倒车视频影像,-
定速巡航,-
电动天窗,-
全景天窗,-
铝合金轮圈,-
发动机电子防盗,-
车内中控锁,-
遥控钥匙,-
皮质方向盘,-
多功能方向盘,-
行车电脑显示屏,-
座椅高低调节,-
腰部支撑调节,-
主/副驾驶座电动调节,-
第二排靠背角度调节,-
第二排座椅移动,-
前/后排座椅加热,-
后排座椅放倒方式,整体放倒
前/后中央扶手,-
GPS导航系统,-
中控台彩色大屏,-
车载电视,-
后排液晶屏,-
CD/DVD,-
前雾灯,-
大灯高度可调,-
前/后电动车窗,-
后视镜电动调节,-
后视镜加热,-
后风挡遮阳帘,-
后排侧遮阳帘,-
后雨刷,-
空调控制方式,手动○
后排独立空调,-
后座出风口,-
温度分区控制,-
车型名称,佳宝V55 2011款 1.0L基本型
厂商指导价(元),3.29万
厂商,一汽吉林
级别,微面
能源类型,汽油
上市时间,2011.11
工信部纯电续驶里程(km),-
最大功率(kW)_x,-
最大扭矩(N·m)_x,-
发动机,1.0L 48马力 L4
变速箱,5挡手动
长*宽*高(mm),4045×1505×1880
车身结构_x,客车
最高车速(km/h),-
工信部综合油耗(L/100km),-
整车质保,三年或6万公里
长度(mm),4045
宽度(mm),1505
高度(mm),1880
轴距(mm),-
前轮距(mm),-
后轮距(mm),-
最小离地间隙(mm),-
整备质量(kg),990
车身结构_y,客车
车门数(个),5
座位数(个),5-8
后排车门开启方式,侧滑门
油箱容积(L),-
货箱尺寸(mm),-
最大载重质量(kg),-
简称,5挡手动
挡位个数,5
变速箱类型,手动变速箱(MT)
驱动方式,中置后驱
前悬架类型,未知
后悬架类型,未知
助力类型,无助力
车体结构,承载式
前制动器类型,盘式
后制动器类型,鼓式
前轮胎规格,165/70 R13
后轮胎规格,165/70 R13
发动机型号,-
排量(mL),970
进气形式,自然吸气
气缸排列形式,L
气缸数(个),4
每缸气门数(个),未知
压缩比,-
配气机构,未知
缸径(mm),-
行程(mm),-
最大马力(Ps),48
最大功率(kW)_y,35.5
最大功率转速(rpm),-
最大扭矩(N·m)_y,-
最大扭矩转速(rpm),-
燃料形式,汽油
燃油标号,92号
供油方式,多点电喷
缸盖材料,未知
缸体材料,未知
环保标准,国IV
电机类型,-
电动机总功率(kW),-
电动机总扭矩(N·m),-
前电动机最大功率(kW),-
前电动机最大扭矩(N·m),-
后电动机最大功率(kW),-
后电动机最大扭矩(N·m),-
驱动电机数,-
电机布局,-
电池类型,-
工信部续航里程(km),-
电池容量(kWh),-
百公里耗电量(kWh/100km),-
电池组质保,-
电池充电时间,-
快充电量(%),-
