Feature,1003584,1003585,1003586,1003588,1003589,1003590,1003591,1003715
高度(mm),2631,2631,2631,2631,2631,2631,2631,2631
驱动电机数,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),7005,7005,7005,7005,7005,7005,7005,7005
长*宽*高(mm),7005×2040×2631,7005×2040×2631,7005×2040×2631,7005×2040×2631,7005×2040×2631,7005×2040×2631,7005×2040×2631,7005×2040×2631
铝合金轮圈,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-
遥控钥匙,-,-,-,-,-,-,-,-
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,-,-,-,-
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3935,3935,3935,3935,3935,3935,3935,3935
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,柯斯达 2015款 4.0L高级车GRB53L-ZEMSK 23座,柯斯达 2015款 4.0L高级车GRB53L-ZEMSK 23座升级版,柯斯达 2015款 4.0L高级车GRB53L-ZCMSK 20座,柯斯达 2015款 4.0L高级车GRB53L-ZCMSK 20座特别版,柯斯达 2015款 4.0L豪华车GRB53L-ZEMNK 23座,柯斯达 2015款 4.0L豪华车GRB53L-ZEMNK 23座无扶手,柯斯达 2015款 4.0L豪华车GRB53L-ZCMEK 20座,柯斯达 2015款 2.7L高级车TRB53L-ZCMSK 20座
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-
行程(mm),95,95,95,95,95,95,95,95
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),94,94,94,94,94,94,94,95
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,●,●,●,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,-
空气悬架,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),92,92,92,92,92,92,92,92
气缸数(个),6,6,6,6,6,6,6,4
气缸排列形式,V,V,V,V,V,V,V,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),130,130,130,130,130,130,130,130
最小离地间隙(mm),175,175,175,175,175,175,175,175
最大马力(Ps),232,232,232,232,232,232,232,154
最大载重质量(kg),-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400,4400,3600-4200
最大扭矩(N·m)_y,345,345,345,345,345,345,345,242
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5000,5200
最大功率(kW)_y,171,171,171,171,171,171,171,113
最大功率(kW)_x,-,-,-,-,-,-,-,-
无钥匙进入系统,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,上下调节,上下调节,上下调节,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),3654,3654,3584,3584,3694,3694,3654,3584
排量(mL),3956,3956,3956,3956,3956,3956,3956,2694
挡位个数,5,5,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,-
感应雨刷,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-
座椅材料,织物,织物,织物,织物,织物,织物,织物,-
座位数(个),23,23,20,20,23,23,20,20
并线辅助,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
宽度(mm),2040,2040,2040,2040,2040,2040,2040,2040
定速巡航,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,-
大灯清洗装置,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-
外接音源接口,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,●,●,●,-
后轮距(mm),1490,1490,1490,1490,1490,1490,1490,1490
后轮胎规格,7.00 R16,7.00 R16,7.00 R16,7.00 R16,7.00 R16,7.00 R16,7.00 R16,7.00 R16
后视镜记忆,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,-
后视镜电动折叠,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,●,●,●,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
后排车门开启方式,折叠门,折叠门,折叠门,折叠门,侧滑门,侧滑门,侧滑门,折叠门
后排独立空调,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后悬架类型,叶片式弹簧,叶片式弹簧,叶片式弹簧,叶片式弹簧,叶片式弹簧,叶片式弹簧,叶片式弹簧,叶片式弹簧
后座出风口,●,●,●,●,●,●,●,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-
发动机型号,6GR,6GR,6GR,6GR,6GR,6GR,6GR,3TR
发动机启停技术,-,-,-,-,-,-,-,-
发动机,4.0L 232马力 V6,4.0L 232马力 V6,4.0L 232马力 V6,4.0L 232马力 V6,4.0L 232马力 V6,4.0L 232马力 V6,4.0L 232马力 V6,2.7L 154马力 L4
压缩比,-,-,-,-,-,-,-,-
厂商指导价(元),41.60万,42.05万,41.85万,45.00万,55.36万,55.06万,55.68万,38.25万
厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,●,●,●,●,●,●,●,-
前轮距(mm),1690,1690,1690,1690,1690,1690,1690,1690
