,1003453,1003454,1003935,1003936
主/副驾驶座安全气囊,-,-,-,-
前/后排侧气囊,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-
膝部气囊,-,-,-,-
胎压监测装置,-,-,-,-
零胎压继续行驶,-,-,-,-
安全带未系提示,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ABS防抱死,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
刹车辅助(EBA/BAS/BA等),-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
并线辅助,-,-,-,-
前/后驻车雷达,-,-,-,-
倒车视频影像,-,-,-,-
全景摄像头,-,-,-,-
定速巡航,-,-,-,-
发动机启停技术,-,-,-,-
上坡辅助,-,-,-,-
自动驻车,-,-,-,-
陡坡缓降,-,-,-,-
可变悬架,-,-,-,-
空气悬架,-,-,-,-
可变转向比,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-
中央差速器锁止功能,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-
电动天窗,-,-,-,-
全景天窗,-,-,-,-
运动外观套件,-,-,-,-
铝合金轮圈,-,●,-,-
电动吸合门,-,-,-,-
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
电动后备厢,-,-,-,-
感应后备厢,-,-,-,-
车顶行李架,-,-,-,-
发动机电子防盗,-,-,-,-
车内中控锁,-,●,-,-
遥控钥匙,-,-,-,-
无钥匙启动系统,-,-,-,-
无钥匙进入系统,-,-,-,-
皮质方向盘,-,-,-,-
方向盘调节,-,-,-,-
方向盘电动调节,-,-,-,-
多功能方向盘,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘记忆,-,-,-,-
行车电脑显示屏,-,-,-,-
座椅材质,织物,织物,织物,织物
运动风格座椅,-,-,-,-
座椅高低调节,-,-,-,-
腰部支撑调节,-,-,-,-
肩部支撑调节,-,-,-,-
主/副驾驶座电动调节,-,-,-,-
第二排靠背角度调节,-,-,-,-
第二排座椅移动,-,-,-,-
后排座椅电动调节,-,-,-,-
电动座椅记忆,-,-,-,-
前/后排座椅加热,-,-,-,-
前/后排座椅通风,-,-,-,-
前/后排座椅按摩,-,-,-,-
第三排座椅,3座,3座,3座,3座
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒
前/后中央扶手,-,-,-,-
后排杯架,-,-,-,-
GPS导航系统,-,-,-,-
道路救援呼叫,-,-,-,-
中控台彩色大屏,-,-,-,-
蓝牙/车载电话,-,-,-,-
车载电视,-,-,-,-
后排液晶屏,-,-,-,-
220V/230V电源,-,-,-,-
外接音源接口,AUX,USB,AUX(选装USB),AUX(选装USB)
CD/DVD,-,-,(选装单碟CD),(选装单碟CD)
扬声器品牌,-,-,-,-
扬声器数量,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-
自适应远近光,-,-,-,-
自动头灯,-,-,-,-
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
前雾灯,-,●,-,○
大灯高度可调,●,●,●,●
大灯清洗装置,-,-,-,-
车内氛围灯,-,-,-,-
前/后电动车窗,-,前●&nbsp;/&nbsp;后-,-,-
车窗防夹手功能,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-
后视镜电动调节,-,-,-,-
后视镜加热,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-
后视镜电动折叠,-,-,-,-
后视镜记忆,-,-,-,-
后风挡遮阳帘,-,-,-,-
后排侧遮阳帘,-,-,-,-
后排侧隐私玻璃,-,-,-,-
遮阳板化妆镜,-,-,-,-
后雨刷,-,-,-,-
感应雨刷,-,-,-,-
空调控制方式,手动○,手动○,手动○,手动○
后排独立空调,○,○,-,○
后座出风口,-,-,-,-
温度分区控制,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-
车载冰箱,-,-,-,-
车型名称,五菱之光 2015款 1.2L S实用型LSI,五菱之光 2015款 1.2L S标准型LSI,五菱之光 2015款 1.2L 标准型LSI,五菱之光 2015款 1.2L 实用型LSI
厂商指导价(元),3.23万,3.49万,3.30万,3.08万
厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
级别,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油
上市时间,2015.06,2015.06,2016.02,2016.02
最大功率(kW)_x,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-
发动机,1.2L 82马力 L4,1.2L 82马力 L4,1.2L 82马力 L4,1.2L 82马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),3890×1580×1822,3890×1580×1822,3797×1510×1820,3797×1510×1820
车身结构_x,客车,客车,客车,客车
最高车速(km/h),-,-,-,-
工信部综合油耗(L/100km),5.9,5.9,5.8,5.8
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),3890,3890,3797,3797
宽度(mm),1580,1580,1510,1510
高度(mm),1822,1822,1820,1820
轴距(mm),2500,2500,2500,2500
前轮距(mm),1290,1290,1290,1290
后轮距(mm),1290,1290,1290,1290
最小离地间隙(mm),-,-,-,-
整备质量(kg),1000,1020,-,-
车身结构_y,客车,客车,客车,客车
车门数(个),5,5,5,5
座位数(个),5/7,5/7,5/7,5/7
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),38,38,38,38
货箱尺寸(mm),-,-,-,-
最大载重质量(kg),-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
助力类型,无助力,无助力,无助力,无助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165/70 R13,165/70 R13,165/70 R13,165/70 R13
后轮胎规格,165/70 R13,165/70 R13,165/70 R13,165/70 R13
发动机型号,LSI,LSI,LSI,LSI
排量(mL),1206,1206,1206,1206
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L
气缸数(个),4,4,4,4
每缸气门数(个),4,4,4,4
压缩比,10.2,10.2,10.2,10.2
配气机构,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-
行程(mm),-,-,-,-
最大马力(Ps),82,82,82,82
最大功率(kW)_y,60.3,60.3,60.3,60.3
最大功率转速(rpm),5600,5600,5600,5600
