Feature,1009479,1011949,1011950
高度(mm),2295,2710,2360
驾驶辅助影像,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),5245,5220,5255
长*宽*高(mm),5245×1760×2295,5220×1760×2710,5255×1800×2360
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
远光灯光源,,,
进气形式,自然吸气,自然吸气,自然吸气
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3350,3350,3350
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),2,4,2
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,货车,货车,货车
车身结构_x,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,-,-,-
车型名称,五菱荣光新卡专用车 2020款 1.8L单排翼开启售货车LJ479Q6,五菱荣光新卡专用车 2021款 1.5L双排加强型仓栅车L3C,五菱荣光新卡专用车 2021款 1.8L单排单层货柜车LJ479Q6
车前雾灯,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,-,-,-
车体结构,承载式,承载式,承载式
货箱尺寸(mm),2975x1637x1465,2310x1630x360,2995x1670x1525
行车电脑显示屏幕,-,-,-
行程(mm),-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,汽油,汽油,汽油
胎压监测功能,-,-,-
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,未知,未知,未知
级别,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
温度分区控制,-,-,-
油箱容积(L),-,-,-
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),105,-,-
最小离地间隙(mm),-,-,-
最大马力(Ps),125,99,125
最大载重质量(kg),662,-,-
最大满载质量(kg),-,-,-
最大扭矩转速(rpm),3600-4400,3800-5000,3600-4400
最大扭矩(N·m)_y,180,135,180
最大扭矩(N·m)_x,180,135,180
最大功率转速(rpm),5600,5400,5600
最大功率(kW)_y,92,73,92
最大功率(kW)_x,92,73,92
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整车质保,一年或2万公里,-,-
整备质量(kg),1578,-,-
排量(mL),1798,1485,1798
挡位个数,5,5,5
扬声器数量,,,
扬声器品牌名称,-,-,-
感应雨刷功能,-,-,-
感应后备厢,-,-,-
座椅材质,,,
座位数(个),2,5,2
并线辅助,-,-,-
工信部综合油耗(L/100km),7.6,-,-
巡航系统,-,-,-
宽度(mm),1760,1760,1800
安全带未系提醒,-,-,-
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
多媒体/充电接口,,,
多功能方向盘,-,-,-
外后视镜功能,-,-,-
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),-,-,-
后轮胎规格,195/70 R15,195/70 R15,195/70 R15
后排车门开启方式,-,平开门,-
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,-,-,-
后排侧隐私玻璃,-,-,-
后排侧窗遮阳帘,-,-,-
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
后座出风口,-,-,-
后制动器类型,鼓式,鼓式,鼓式
可变转向比,-,-,-
可变悬架功能,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-
发动机型号,LJ479Q6,L3C,LJ479Q6
发动机启停技术,-,-,-
发动机,1.8L 125马力 L4,1.5L 99马力 L4,1.8L 125马力 L4
压缩比,-,-,-
厂商指导价(元),6.78万~6.98万,5.915万,6.23万
厂商,五菱工业,五菱工业,五菱工业
卫星导航系统,-,-,-
助力类型,电动助力,电动助力,电动助力
副座椅调节方式,-,,-
前轮距(mm),-,-,-
前轮胎规格,195/70 R15,195/70 R15,195/70 R15
前排座椅功能,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,盘式
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,-,-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
准拖挂车总质量(kg),-,-,-
内后视镜功能,-,-,-
全液晶仪表盘,-,-,-
供油方式,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,-,-,-
上市时间,2020.06,2021.08,2021.08
上坡辅助,-,-,-
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
220V/230V电源,-,-,-
