Feature,54974,54975,54976,54977,55214,60646,60683,60914,60925
高度(mm),1627,1627,1627,1634,1634,1627,1627,1627,1634
驾驶辅助影像,-,,,,,,,-,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
长度(mm),4600,4600,4600,4600,4600,4600,4600,4600,4600
长*宽*高(mm),4600*1881*1627,4600*1881*1627,4600*1881*1627,4600*1881*1634,4600*1881*1634,4600*1881*1627,4600*1881*1627,4600*1881*1627,4600*1881*1634
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,,-,-,-,-,
轴距(mm),2779,2779,2779,2779,2779,2779,2779,2779,2779
轮圈材质,,,,,,,,,
转向辅助灯,-,●,●,●,●,●,●,-,●
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,●,●,●,●,●,●,-,●
车道保持辅助系统,-,●,●,●,●,●,●,-,●
车载空气净化器,-,-,-,●,-,-,-,-,●
车载智能系统,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,凯迪拉克XT4 2022款 28T 两驱风尚型,凯迪拉克XT4 2022款 28T 两驱豪华型,凯迪拉克XT4 2022款 28T 两驱尊贵型,凯迪拉克XT4 2022款 28T 四驱铂金型,凯迪拉克XT4 2022款 28T 四驱尊贵型,凯迪拉克XT4 2023款 28T 两驱尊贵型,凯迪拉克XT4 2023款 28T 两驱豪华型,凯迪拉克XT4 2023款 28T 两驱风尚型,凯迪拉克XT4 2023款 28T 四驱铂金型
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,,,,,-,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,●,-,-,-,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,●,-,-,-,-,●
语音识别控制系统,,,,,,,,,
