Feature,12210,12211,12212,12213,31142,31145
高度(mm),1608,1648,1650,1597,1648,1656
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,●,●,●,●,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,-,-
长度(mm),5606,5842,5992,5606,5770,5990
长*宽*高(mm),5606*1987*1608,5842*1990*1648,5992*1990*1650,5606*1987*1597,5770*2018*1648,5990*2018*1656
铝合金轮圈,●,●,●,●,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,-,-
遥控钥匙,●,●,●,●,-,-
道路救援呼叫,-,-,-,-,-,-
远程启动,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,双涡轮增压,双涡轮增压
近光灯,LED,LED,LED,LED,-,-
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3320,3570,3820,3320,3552,3772
转向辅助灯,-,-,-,-,-,-
转向头灯,●,●,●,●,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),2,4,4,2,4,4
车道偏离预警系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载电视,●,●,●,●,-,-
车载冰箱,-,●,●,-,-,-
车身结构_y,硬顶跑车,三厢车,三厢车,软顶敞篷车,三厢车,三厢车
车身结构_x,2门4座硬顶跑车,4门5座三厢车,4门5座三厢车,2门4座软顶敞篷车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,-,-
车窗一键升降,全车,全车,全车,全车,-,-
车型名称,幻影 2013款 6.7L 双门轿跑车,幻影 2013款 6.7L 标准版,幻影 2013款 6.7L 加长版EWB,幻影 2013款 6.7L 软顶敞篷车,幻影 2018款 标准版,幻影 2018款 加长版
车内空气调节/花粉过滤,●,●,●,●,-,-
车内氛围灯,-,●,●,-,-,-
车内中控锁,●,●,●,●,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,-,-
行程(mm),84.6,84.6,84.6,84.6,-,-
行李厢容积(L),395,460,460,315,548,548
蓝牙/车载电话,●,●,●,●,-,-
自适应远近光,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-
自动驻车,●,●,●,●,-,-
自动泊车入位,-,-,-,-,-,-
自动头灯,●,●,●,●,-,-
膝部气囊,●,●,●,●,-,-
腰部支撑调节,●,●,●,●,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,-,-
肩部支撑调节,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),92,92,92,92,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,大型车,大型车,大型车,大型车,大型车,大型车
简称,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
第二排靠背角度调节,-,●,●,-,-,-
第二排独立座椅,-,-,-,-,-,-
第二排座椅移动,-,●,●,-,-,-
第三排座椅,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,-,-
空气悬架,●,●,●,●,-,-
皮质方向盘,●,●,●,●,-,-
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,-,-
电动天窗,-,-,-,-,-,-
电动吸合门,●,●,●,●,-,-
电动后备厢,●,●,●,●,-,-
环保标准,欧IV,欧IV,欧IV,欧IV,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,-,-
燃油标号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,-,-
流媒体车内后视镜,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-
气缸数(个),12,12,12,12,12,12
气缸排列形式,V,V,V,V,V,V
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),250,240,240,240,-,-
最小离地间隙(mm),-,-,-,-,-,-
最大马力(Ps),460,460,460,460,571,571
最大扭矩转速(rpm),3500,3500,3500,3500,1700,1700
最大扭矩(N·m)_y,720,720,720,720,900,900
最大扭矩(N·m)_x,720,720,720,720,900,900
最大功率转速(rpm),5350,5350,5350,5350,5000,5000
最大功率(kW)_y,338,338,338,338,420,420
最大功率(kW)_x,338,338,338,338,420,420
无钥匙进入系统,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,-,-
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,-,-
方向盘记忆,●,●,●,●,-,-
方向盘电动调节,●,●,●,●,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),2635,2695,2725,2715,-,-
整体主动转向系统,-,-,-,-,-,-
排量(mL),6749,6749,6749,6749,6749,6749
挡位个数,8,8,8,8,8,8
扬声器品牌,Lexicon莱斯康,Lexicon莱斯康,Lexicon莱斯康,Lexicon莱斯康,-,-
扬声器个数,≥12喇叭,≥12喇叭,≥12喇叭,≥12喇叭,-,-
手机无线充电,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,-
感应雨刷,●,●,●,●,-,-
感应后备厢,-,-,-,-,-,-
座椅高低调节,●,●,●,●,-,-
座椅材料,真皮,真皮,真皮,真皮,-,-
座位数(个),4,5,5,4,5,5
并线辅助,-,-,-,-,-,-
工信部综合油耗(L/100km),14.7,14.7,14.7,14.7,-,-
导航路况信息显示,-,-,-,-,-,-
宽度(mm),1987,1990,1990,1987,2018,2018
实测油耗(L/100km),-,-,-,-,-,-
实测100-0km/h制动(m),-,39.66,-,-,-,-
实测0-100km/h加速(s),-,7.01,-,-,-,-
