Feature,25590,26157,26167,26168,26169,26170,26171,26172,26174,26175,26176,31262,31263,32774,33416,34327,34416,34772,34773,35348,37253,37256
高度(mm),1861,1861,1861,1861,1861,1861,1834,1834,1834,1834,1834,1861,1861,1861,1834,1871,1871,1871,1871,1871,1871,1871
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-,●,-,-,●,●,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4630,4630,4630,4630,4630,4630,4350,4350,4350,4350,4350,4630,4630,4630,4350,4645,4645,4645,4645,4645,4645,4645
长*宽*高(mm),4630*1843*1861,4630*1843*1861,4630*1843*1861,4630*1843*1861,4630*1843*1861,4630*1843*1861,4350*1843*1834,4350*1843*1834,4350*1843*1834,4350*1843*1834,4350*1843*1834,4630*1843*1861,4630*1843*1861,4630*1843*1861,4350*1843*1834,4645*1925*1871,4645*1925*1871,4645*1925*1871,4645*1925*1871,4645*1925*1871,4645*1925*1871,4645*1925*1871
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2730,2730,2730,2730,2730,2730,2450,2450,2450,2450,2450,2730,2730,2730,2450,2745,2745,2745,2745,2745,2745,2745
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,●,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,2,2,2,2,2,4,4,4,2,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
