Feature,1014849,1014850,1014851,1014852,1014922
高度(mm),1860,1860,1860,1860,1860
驾驶辅助影像,-,,-,,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-
长度(mm),5270,5270,5520,5520,5270
长*宽*高(mm),5270*1900*1860,5270*1900*1860,5520*1900*1860,5520*1900*1860,5270*1900*1860
钥匙类型,,,,,
道路救援呼叫,-,-,-,-,-
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),3160,3160,3410,3410,3160
轮圈材质,,,,,
转向辅助灯,-,●,-,●,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),4,4,4,4,4
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,2023款 2.0L 标轴 奋斗版,2023款 2.0L 标轴 能量版,2023款 2.0L 长轴 奋斗版,2023款 2.0L 长轴 能量版,卡路里 2023款 2.0L 标轴 青春版
车前雾灯,,,,,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,-,-,-,-,-
车内中控锁,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),1595x1540x545,1595x1540x545,1845x1540x545,1845x1540x545,1595x1540x545
行车电脑显示屏幕,-,-,-,-,-
行程(mm),94,94,94,94,94
蓝牙/车载电话,-,●,-,●,-
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
膝部气囊,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),81.5,81.5,81.5,81.5,81.5
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-
第二排座椅功能,-,-,-,-,-
空调温度控制方式,,,,,-
空气悬架,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-
电动吸合车门,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-
油箱容积(L),70,70,70,70,70
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最大马力(Ps),144,144,144,144,144
最大载重质量(kg),495,495,495,495,495
最大扭矩转速(rpm),3600-4600,3600-4600,3600-4600,3600-4600,3600-4600
最大扭矩(N·m)_y,200,200,200,200,200
最大扭矩(N·m)_x,200,200,200,200,200
最大功率转速(rpm),5600,5600,5600,5600,5600
最大功率(kW)_y,106,106,106,106,106
最大功率(kW)_x,106,106,106,106,106
无钥匙进入功能,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1625,1625,1645,1645,1625
排量(mL),1962,1962,1962,1962,1962
挡位个数,5,5,5,5,5
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
感应雨刷功能,-,-,-,-,-
感应后备厢,-,-,-,-,-
座椅材质,,,,,
座位数(个),5,5,5,5,5
并线辅助,-,-,-,-,-
工信部综合油耗(L/100km),8,8,8,8,8
巡航系统,-,-,-,-,-
宽度(mm),1900,1900,1900,1900,1900
安全带未系提醒,,,,,
天窗类型,-,-,-,-,-
大灯高度可调,●,●,●,●,●
大灯清洗装置,-,-,-,-,-
多媒体/充电接口,,,,,
多功能方向盘,-,●,-,●,-
外后视镜功能,-,,-,,-
后风挡遮阳帘,-,-,-,-,-
后雨刷,-,-,-,-,-
后轮距(mm),1610,1610,1610,1610,1610
后轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16
后排车门开启方式,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-
后排杯架,-,-,-,-,-
后排座椅放倒形式,,,,,
后排侧隐私玻璃,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-
可变悬架功能,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-
发动机型号,LQ481QFB,LQ481QFB,LQ481QFB,LQ481QFB,LQ481QFB
发动机启停技术,-,-,-,-,-
发动机,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4
厂商指导价(元),6.78万,7.28万,6.98万,7.48万,5.98万
厂商,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂
卫星导航系统,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,,
前轮距(mm),1610,1610,1610,1610,1610
前轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16
前排座椅功能,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-
前/后排侧气囊,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●
内后视镜功能,,,,,
全液晶仪表盘,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,
主/副驾驶座电动调节,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-
中控彩色屏幕,-,,-,,-
上市时间,2022.12,2022.12,2022.12,2022.12,2022.12
上坡辅助,-,-,-,-,-
LED日间行车灯,-,●,-,●,-
ISOFIX儿童座椅接口,●,●,●,●,●
ABS防抱死,●,●,●,●,●
220V/230V电源,-,-,-,-,-
