Feature,1007608,1007742
高度(mm),1830,1830
驾驶辅助影像,,
驱动方式,前置后驱,前置后驱
陡坡缓降,-,-
限滑差速器/差速锁,-,-
长度(mm),5570,5088
长*宽*高(mm),5570×1820×1830,5088×1820×1830
钥匙类型,,
配气机构,未知,未知
道路救援呼叫,-,-
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),3350,3035
轮圈材质,,
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),4,4
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,皮卡,皮卡
车身结构_x,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-
车窗防夹手功能,-,-
车型名称,锐铃 2019款 2.8T两驱长轴基本型JE493ZLQ5D,锐铃 2019款 2.8T两驱3035轴距基本型JE493ZLQ5D
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,●,●
车体结构,非承载式,非承载式
货箱尺寸(mm),1815x1460x546,1337x1460x546
行车电脑显示屏幕,-,-
行程(mm),-,-
蓝牙/车载电话,○,○
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
膝部气囊,-,-
能源类型,柴油,柴油
胎压监测功能,-,-
缺气保用轮胎,-,-
缸盖材料,未知,未知
缸径(mm),-,-
缸体材料,未知,未知
级别,皮卡,皮卡
简称,5挡手动,5挡手动
第二排座椅调节,-,-
第二排座椅电动调节,-,-
第二排座椅功能,-,-
空调温度控制方式,,
空气悬架,-,-
电动座椅记忆功能,-,-
电动吸合车门,-,-
电动后备厢位置记忆,-,-
电动后备厢,-,-
环保标准_y,国V,国V
环保标准_x,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,0号,0号
燃料形式,柴油,柴油
温度分区控制,-,-
油箱容积(L),-,-
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),-,-
最小离地间隙(mm),200,200
最大马力(Ps),109,109
最大载重质量(kg),490,-
最大满载质量(kg),-,-
最大扭矩转速(rpm),2000,2000
最大扭矩(N·m)_y,225,225
最大扭矩(N·m)_x,225,225
最大功率转速(rpm),3600,3600
最大功率(kW)_y,80,80
最大功率(kW)_x,80,80
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,-,-
整备质量(kg),1940,1890
排量(mL),2771,2771
挡位个数,5,5
扬声器数量,,
扬声器品牌名称,-,-
感应雨刷功能,-,-
感应后备厢,-,-
座椅材质,,
座位数(个),5,5
并线辅助,-,-
工信部综合油耗(L/100km),-,-
巡航系统,-,-
宽度(mm),1820,1820
安全带未系提醒,-,-
天窗类型,-,-
大灯高度可调,-,-
大灯清洗装置,-,-
多媒体/充电接口,,
多功能方向盘,-,●
外后视镜功能,,
后风挡遮阳帘,-,-
后雨刷,-,-
后轮距(mm),-,-
后轮胎规格,225/70 R16,225/70 R16
后排车门开启方式,平开门,平开门
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,,
后排侧隐私玻璃,-,-
后排侧窗遮阳帘,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●
后制动器类型,盘式,盘式
可变转向比,-,-
可变悬架功能,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动
发动机电子防盗,-,-
发动机型号,JE493ZLQ5D,JE493ZLQ5D
发动机启停技术,-,-
发动机,2.8T 109马力 L4,2.8T 109马力 L4
压缩比,-,-
厂商指导价(元),8.08万,7.93万
厂商,北京汽车制造厂,北京汽车制造厂
卫星导航系统,○,○
助力类型,液压助力,液压助力
副座椅调节方式,,
前轮距(mm),-,-
前轮胎规格,225/70 R16,225/70 R16
前排座椅功能,-,-
前悬架类型,螺旋弹簧独立悬架,螺旋弹簧独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),-,-
内后视镜功能,,
全液晶仪表盘,-,-
供油方式,直喷,直喷
主座椅调节方式,,
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,主●&nbsp;/&nbsp;副-
中控彩色屏幕,,
上市时间,2019.05,2019.06
上坡辅助,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
220V/230V电源,-,-
