Feature,22412,22413,22414,22415,26516,26517
高度(mm),1535,1535,1535,1535,1535,1535
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
长度(mm),4280,4280,4280,4280,4280,4280
长*宽*高(mm),4280*1695*1535,4280*1695*1535,4280*1695*1535,4280*1695*1535,4280*1695*1535,4280*1695*1535
铝合金轮圈,-,-,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),2600,2600,2600,2600,2600,2600
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,启辰R50 2015款 1.6L 手动时尚版,启辰R50 2015款 1.6L 自动时尚版,启辰R50 2015款 1.6L 手动豪华版,启辰R50 2015款 1.6L 自动豪华版,启辰R50 2016款 1.6L 手动精英版,启辰R50 2016款 1.6L 自动精英版
车内空气调节/花粉过滤,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-
行李厢容积(L),317,317,317,317,317,317
蓝牙/车载电话,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,5挡手动,4挡自动,5挡手动,4挡自动,5挡手动,4挡自动
第二排靠背角度调节,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
电动天窗,-,-,●,●,-,-
电动吸合门,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准,国V+OBD,国V+OBD,国V+OBD,国V+OBD,国V+OBD,国V+OBD
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-
油箱容积(L),52,52,52,52,52,52
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),185,175,185,175,185,175
最小离地间隙(mm),-,-,-,-,-,-
