Feature,53136,53558,53559,53560,53561,53562,53563,56652,56653,56654,56657,56658,56659,58974,59041,59042,59043,59044,59045,59046,59047,59048,59049,59052,59053,59522,59523,59524,59525,59657
高精地图,●,○,○,○,○,○,●,○,○,●,○,○,○,-,-,-,-,-,-,-,●,●,-,-,-,-,-,●,-,-
高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,●,-,●,-,-,●,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650
长*宽*高(mm),4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720,4650*1920*1720
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遥控泊车,●,○,○,○,○,○,●,○,○,●,○,○,○,○,○,○,○,○,○,○,●,●,-,○,○,○,○,●,○,○
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
透明底盘/540度影像,●,○,○,○,○,○,●,○,○,●,○,○,○,○,○,○,○,○,○,○,●,●,-,○,○,○,○,●,○,○
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程召唤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,●,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,-,,-,-,,,-,-,,-,-,,,-,,,-,-,,,,-,-,,-,-,,-,-
辅助驾驶等级,,-,,-,-,,,-,-,,-,-,,,-,,,-,-,,,,-,-,,-,-,,-,-
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
车道偏离预警系统,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
车道保持辅助系统,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
车载空气净化器,●,-,●,-,-,●,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,AION V 2021款 Plus 80 领航智驾版 三元锂,AION V 2021款 Plus 70 智领版 磷酸铁锂,AION V 2021款 Plus 70 智享科技版 磷酸铁锂,AION V 2021款 Plus 70 超级快充版 三元锂,AION V 2021款 Plus 80 智领版 三元锂,AION V 2021款 Plus 80 智享科技版 三元锂,AION V 2021款 Plus 90 超长续航版 三元锂,AION V 2022款 Plus 70 行政版 磷酸铁锂,AION V 2022款 Plus 80 行政版 三元锂,AION V 2022款 Plus 80 领袖版 三元锂,AION V 2022款 Plus 70 智领版 三元锂,AION V 2022款 Plus 70 行政版 三元锂,AION V 2022款 Plus 70 智享科技版 三元锂,AION V 2023款 Plus 80 智享七座版 三元锂,AION V 2023款 Plus 70 智领版 三元锂,AION V 2023款 Plus 70 智享科技版 三元锂,AION V 2023款 Plus 70 智享七座版 三元锂,AION V 2023款 Plus 70 超级快充版 三元锂,AION V 2023款 Plus 80 智领版 三元锂,AION V 2023款 Plus 80 智享科技版 三元锂,AION V 2023款 Plus 90 超长续航版 三元锂,AION V 2023款 Plus 80 领航智驾版 三元锂,AION V 2023款 Plus 70 极速快充版 三元锂,AION V 2023款 Plus 70 智领版 磷酸铁锂,AION V 2023款 Plus 70 智享科技版 磷酸铁锂,AION V 2023款 Plus 70 行政版 磷酸铁锂,AION V 2023款 Plus 70 行政版 三元锂,AION V 2023款 Plus 80 领袖版 三元锂,AION V 2023款 Plus 80 行政版 三元锂,AION V 2023款 Plus 70 七座商务版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,●,-,-,●,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,●,-,-,●,●,-,-,●,-,-,●,●,-,●,●,-,-,●,●,●,-,-,●,-,-,●,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,○,○,○,○,○,●,○,○,●,○,○,○,○,○,○,○,○,○,○,●,●,-,○,○,○,○,●,○,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,-,-,-,-,●,●,-,-,●,-,-,-,●,-,-,-,-,-,●,●,●,-,-,-,-,-,●,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
