Feature,59403,59404,59405,59406,59407,62971,62972,62973,62974,62975
高度(mm),1781,1781,1781,1781,1781,1781,1781,1781,1781,1781
驾驶辅助影像,-,,,,,-,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5346,5346,5346,5346,5346,5346,5346,5346,5346,5346
长*宽*高(mm),5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781,5346*1976*1781
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,-,,,,,-,,,,
辅助驾驶等级,,,,,,,,,,
轴距(mm),3180,3180,3180,3180,3180,3180,3180,3180,3180,3180
轮圈材质,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,●,●,-,-,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,-,○,○,●,●,-,○,○,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车型名称,威然 2023款 330TSI 商务版,威然 2023款 330TSI 豪华版,威然 2023款 380TSI 尊驰版,威然 2023款 380TSI 尊贵版,威然 2023款 380TSI 旗舰版,威然 2023款 改款 330TSI 商务版,威然 2023款 改款 330TSI 豪华版,威然 2023款 改款 380TSI 尊驰版,威然 2023款 改款 380TSI 尊贵版,威然 2023款 改款 380TSI 旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,,,-,,,,
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,
