Feature,54798,54799,58498
高度(mm),1658,1658,1664
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱
面部识别,-,-,-
隐藏电动门把手,-,-,-
陡坡缓降,-,-,-
长度(mm),4603,4603,4595
长*宽*高(mm),4603*1860*1658,4603*1860*1658,4595*1860*1664
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
道路交通标识识别,-,-,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
辅助驾驶系统,-,,
辅助驾驶等级,-,,
轴距(mm),2730,2730,2731
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,●,●,●
车顶行李架,●,●,●
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道居中保持,-,-,●
车道偏离预警系统,-,●,●
车道保持辅助系统,-,●,●
车载空气净化器,-,-,●
车载智能系统,-,-,
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,探岳GTE插电混动 2022款 1.4T 豪华型,探岳GTE插电混动 2022款 1.4T 尊贵型,探岳GTE插电混动 2023款 280TSI 豪华Plus进阶版
车前雾灯,-,-,-
车内香氛装置,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
负离子发生器,-,-,-
语音识别控制系统,,,
触摸式阅读灯,-,-,-
被动行人保护,-,-,-
行车电脑显示屏幕,,,
行程(mm),80,80,80
行李厢12V电源接口,-,-,-
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,●,●,●
自动泊车入位,-,●,○
自动头灯,●,●,●
膝部气囊,●,●,●
能量回收系统,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
