Feature,61859,62335,62336,62337,62338,62339,62923,62924
高度(mm),1471,1471,1471,1471,1471,1471,1471,1471
驾驶辅助影像,,-,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4296,4296,4296,4296,4296,4296,4296,4296
长*宽*高(mm),4296*1788*1471,4296*1788*1471,4296*1788*1471,4296*1788*1471,4296*1788*1471,4296*1788*1471,4296*1788*1471,4296*1788*1471
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,-,-,○,-,-
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,●,-,-,-,-,-,-,-
运动外观套件,●,-,-,-,●,●,-,●
辅助驾驶系统,-,-,-,-,-,,-,
辅助驾驶等级,,-,-,-,-,,-,
轴距(mm),2631,2636,2636,2631,2631,2631,2631,2631
轮圈材质,,,,,,,,
转向头灯,●,-,-,-,-,○,-,○
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,-,-,-,●,-,●
车道保持辅助系统,●,-,-,-,-,●,-,●
车载空气净化器,●,-,-,-,-,●,-,●
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,-,○,○,●,●,○,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,高尔夫 2023款 380TSI DSG GTI,高尔夫 2023款 改款 200TSI DSG,高尔夫 2023款 改款 200TSI DSG Pro,高尔夫 2023款 改款 280TSI DSG Pro,高尔夫 2023款 改款 280TSI DSG R-Line Lite,高尔夫 2023款 改款 280TSI DSG R-Line,2023款 280TSI DSG Pro 20周年纪念版,2023款 280TSI DSG R-Line 20周年纪念版
车前雾灯,,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,-,-,●,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,,,,,,,
语音识别控制系统,,,,,,,,
