Feature,50134,51764,59236
高度(mm),1635,1635,1635
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-
面部识别,●,●,-
陡坡缓降,●,●,●
长度(mm),4580,4580,4580
长*宽*高(mm),4580*1915*1635,4580*1915*1635,4580*1915*1635
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●
道路交通标识识别,-,●,-
远程启动功能,,,
远光灯光源,,,
进气形式,自然吸气,自然吸气,自然吸气
近光灯光源,,,
运动风格座椅,●,●,●
辅助驾驶等级,-,,-
轴距(mm),2750,2750,2750
轮圈材质,,,
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,●,-
车道保持辅助系统,-,●,-
车载空气净化器,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,天际ME5 2021款 1012,天际ME5 2021款 1012 PRO,天际ME5 2022款 周年限量版
车前雾灯,-,-,-
车内环境氛围灯,,,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音连续识别,●,●,●
语音识别控制系统,,,
语音免唤醒词,●,●,●
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,●,-
自动驻车,●,●,●
自动泊车入位,○,○,-
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,增程式,增程式,增程式
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
离去角(°),25,25,25
百公里耗电量(kWh/100km),14.9,14.9,14.9
疲劳驾驶提示,●,●,-
电芯品牌,上海电气,上海电气,上海电气
电池预加热,●,●,●
电池能量(kWh),30.6,30.6,30.6
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),310,310,310
电动机总功率(kW),150,150,150
电动机总功率(Ps),204,204,204
电动机(Ps),204,204,204
电动座椅记忆功能,,,-
电动后备厢位置记忆,●,●,-
电动后备厢,●,●,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
燃料形式,增程式,增程式,增程式
温度分区控制,-,-,-
液晶仪表尺寸,,,
油箱容积(L),42,42,42
气缸数(个),4,4,4
气缸排列形式,L,L,L
毫米波雷达数量,-,,-
每缸气门数(个),4,4,4
最高车速(km/h),160,160,160
最大马力(Ps),98,98,98
最大满载质量(kg),2350,2350,2350
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,-,-,-
最大扭矩(N·m)_x,-,-,-
最大功率转速(rpm),-,-,-
最大功率(kW)_y,72,72,72
最大功率(kW)_x,150,150,150
最大净功率(kW),72,72,72
最低荷电状态油耗(L/100km),6.25,6.25,6.25
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,四年或12万公里,四年或12万公里,四年或12万公里
整备质量(kg),1940,1940,1940
摄像头数量,,,-
接近角(°),17,17,17
排量(mL),1498,1498,1498
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,-
手机互联/映射,-,-,-
手机APP远程功能,,,
慢充时间(小时)_y,6,6,6
慢充时间(小时)_x,6,6,6
感应雨刷功能,,,
快充电量百分比,80,80,80
快充电量(%),80,80,80
快充时间(小时)_y,0.57,0.57,0.57
快充时间(小时)_x,0.57,0.57,0.57
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),5,5,5
并线辅助,-,●,-
巡航系统,,,-
导航路况信息显示,●,●,●
对外放电,●,●,●
宽度(mm),1915,1915,1915
官方0-100km/h加速(s),8.9,8.9,8.9
安全带未系提醒,,,
天窗类型,,,-
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,无,无,无
地图品牌,,,
四驱形式,-,-,-
后雨刷,●,●,●
后轮距(mm),1664,1664,1664
后轮胎规格,235/55 R18,235/55 R18,235/55 R18
后电动机最大扭矩(N·m),310,310,310
后电动机最大功率(kW),150,150,150
后排独立空调,-,-,-
后排杯架,●,●,-
后排座椅放倒形式,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●
后备厢容积(L),331-1194,331-1194,331-1194
后制动器类型,盘式,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-,-
发动机布局,-,-,-
发动机型号,DAM15KE,DAM15KE,DAM15KE
发动机启停技术,-,-,-
发动机,增程式 98马力,增程式 98马力,增程式 98马力
厂商指导价(元),15.99万,16.99万,13.88万
厂商,天际汽车,天际汽车,天际汽车
卫星导航系统,●,●,●
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1628,1628,1628
前轮胎规格,235/55 R18,235/55 R18,235/55 R18
前方碰撞预警,-,●,-
前排座椅功能,,,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,●,●,-
内后视镜功能,,,
全液晶仪表盘,●,●,●
倒车车侧预警系统,-,●,-
供油方式,多点电喷,多点电喷,多点电喷
低速行车警告,●,●,●
主座椅调节方式,,,
主动刹车/主动安全系统,-,●,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
中央差速器结构,-,-,-
上市时间,2021.07,2021.07,2022.09
上坡辅助,●,●,●
Wi-Fi热点,●,●,●
WLTC综合油耗(L/100km),1.09,1.09,1.09
WLTC纯电续航里程(km)_y,116,116,116
WLTC纯电续航里程(km)_x,116,116,116
USB/Type-C接口数量,,,
OTA升级,●,●,●
NEDC综合续航(km),1012,1012,1012
NEDC综合油耗(L/100km),0.7,0.7,0.7
NEDC纯电续航里程(km)_y,155,155,155
NEDC纯电续航里程(km)_x,155,155,155
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ETC装置,○,○,-
DOW开门预警,-,●,-
ABS防抱死,●,●,●
4G/5G网络,,,
