Feature,1016346
高度(mm),3120
驾驶辅助影像,-
驱动方式,前置四驱
陡坡缓降,●
限滑差速器/差速锁,
长度(mm),5940
长*宽*高(mm),5940*2480*3120
钥匙类型,
配气机构,-
道路救援呼叫,●
远光灯光源,
进气形式,涡轮增压
近光灯光源,
轴距(mm),3850
轮圈材质,
车门数(个),2
车身结构_y,货车
车身结构_x,货车
车身稳定控制(ESC/ESP/DSC等),-
车窗防夹手功能,-
车型名称,乌尼莫克U5023 2023款 底盘车
车前雾灯,-
车内环境氛围灯,-
车内化妆镜,-
车内中控锁,-
车体结构,非承载式
货箱尺寸(mm),-
行车电脑显示屏幕,-
行程(mm),-
蓝牙/车载电话,-
自适应远近光,-
自动驻车,-
自动头灯,●
能源类型,柴油
胎压监测功能,-
缺气保用轮胎,-
缸盖材料,-
缸径(mm),-
缸体材料,-
级别,轻卡
简称,8挡自动
第二排座椅调节,-
空调温度控制方式,
电动座椅记忆功能,-
电动后备厢,-
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),-
燃油标号,0号
燃料形式,柴油
温度分区控制,-
油箱容积(L),220
气缸数(个),4
气缸排列形式,L
每缸气门数(个),-
最高车速(km/h),90
最小离地间隙(mm),-
最大马力(Ps),231
最大载重质量(kg),7350
最大扭矩转速(rpm),1200-1800
最大扭矩(N·m)_y,900
最大扭矩(N·m)_x,900
最大功率转速(rpm),-
最大功率(kW)_y,170
最大功率(kW)_x,170
无钥匙进入功能,-
无钥匙启动系统,-
方向盘记忆,-
方向盘材质,-
方向盘换挡,●
方向盘加热,-
方向盘位置调节,-
整车质保,-
整备质量(kg),6545
排量(mL),5132
挡位个数,8
扬声器数量,-
扬声器品牌名称,-
感应雨刷功能,-
座椅材质,-
座位数(个),2/3
并线辅助,-
工信部综合油耗(L/100km),25
巡航系统,-
宽度(mm),2480
安全带未系提醒,-
天窗类型,-
大灯高度可调,-
多媒体/充电接口,-
多功能方向盘,-
外后视镜功能,-
后雨刷,-
后轮距(mm),-
后轮胎规格,445/65 R22.5
后排车门开启方式,-
后排独立空调,-
后排杯架,-
后排座椅放倒形式,-
后悬架类型,-
后座出风口,-
后制动器类型,-
变速箱类型,自动变速箱(AT)
变速箱,8挡自动
发动机电子防盗,-
发动机型号,-
发动机启停技术,-
发动机,5.1T 231马力 L4
压缩比,-
厂商指导价(元),288.00万
厂商,奔驰(进口)
卫星导航系统,-
助力类型,电子液压助力
副座椅调节方式,
前轮距(mm),-
前轮胎规格,445/65 R22.5
前排座椅功能,-
前悬架类型,-
前制动器类型,-
前/后驻车雷达,-
前/后电动车窗,-
前/后排头部气囊(气帘),-
前/后排侧气囊,-
前/后中央扶手,-
刹车辅助(EBA/BAS/BA等),-
制动力分配(EBD/CBC等),●
内后视镜功能,-
全液晶仪表盘,-
充电桩价格,-
供油方式,直喷
主座椅调节方式,
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-
中控彩色屏幕,-
中央差速器锁止功能,●
上市时间,2023.06
上坡辅助,●
LED日间行车灯,-
ISOFIX儿童座椅接口,-
ABS防抱死,●
